track_id,filename,source_dir,title,artists,recorded_date,recorded_year,duration_sec,format,filesize_bytes,side,cassette_number,harvard_url,sha1,flags
track_0015,track_0015_Side_B_Track_2_Nuxurka_sheekada_-_Copy_1.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,Nuxurka sheekada - Copy 1,Songs of the Play: Ninkeeda ku amaahday,,,92.29,mp3,3692813,B,2.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33897959,bcd42444c1c67633f4e0cf415be93731aa0d3478,
track_0118,track_0118_Side_B_Track_3.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,[?],Cabdi Aadan Qays (Abdi Adan Qays),,,72.04,mp3,1610205,B,20.0,https://somalisongs.share.library.harvard.edu/wp-content/uploads/2022/11/AWM_SC_12316_2_3.mp3,fea3535a358685931e3432a0555ee897c5e45614,
track_0129,track_0129_Side_B_Track_3_Caashaqu_sed_weeye.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,Caashaqu sed weeye,Salaax Qaasim (Salah Kassim),,,229.2,mp3,5017960,B,21.0,https://somalisongs.share.library.harvard.edu/wp-content/uploads/2022/11/AWM_SC_12317_2_3_Caashaqu-sed-weeye.mp3,ca253b436d083bde98de1fb74294816e221751e5,
track_0237,track_0237_Side_A_Track_3_Milgo_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Milgo, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,397.19,mp3,15888861,A,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944732,69fde33b5ef95a2e17a0d95af0ec7ae1c5dddd3b,
track_0239,track_0239_Side_A_Track_5_Taliyoo_wax_may_taraysaa_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Taliyoo wax may taraysaa, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,420.6,mp3,16825091,A,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944728,a8e2f0033ee7a866ccdcccf1340adc7939079e3d,
track_0240,track_0240_Side_B_Track_1_Haddaad_Wiiq_Is_Lahayd_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Haddaad Wiiq Is Lahayd, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,415.84,mp3,16634918,B,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944734,4e735f898d48db1328196464e9c22353260116f0,
track_0241,track_0241_Side_B_Track_2_In_la_i_talinaayo_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"In la i talinaayo, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,342.36,mp3,13695622,B,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944730,dbdb20715a07b2f147ac8a4c33d995f9b19dd055,
track_0242,track_0242_Side_B_Track_3_Geeri_Doortee_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Geeri Doortee, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,217.05,mp3,8683245,B,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944716,47cfcc59f5aed18d47cf9124c1668de934fdbc1f,
track_0243,track_0243_Side_B_Track_4_Alla_Aammin_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Alla Aammin, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,319.95,mp3,12799098,B,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944722,8c2483be93b5accea80e95c140b313445a3beaed,
track_0244,track_0244_Side_B_Track_5_Weynoow_hayna_kala_wadin_1966-08-25.mp3,/Users/khalidibrahim/Downloads/01_raw_mp3,"Weynoow hayna kala wadin, 1966-08-25","Allah aammin ma iisho (Songs from the play by this name), 1966-08-25",1966-08-25,1966.0,612.78,mp3,24512404,B,62.0,https://nrs.lib.harvard.edu/urn-3:fhcl.loeb:33944736,cdf5b1ff71f5486656f3cafd98f9506c9857588d,
