clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
d8b0d93d_seg000.wav,101,C,37.7,C major,0.9931,0.9554,0.9931,0.9901,0.0099,1.0,0.888
d8b0d93d_seg001.wav,88,C,40.0,C major,0.9918,0.9372,0.9918,0.9886,0.0114,1.0,0.8594
d8b0d93d_seg002.wav,82,C,38.2,C major,1.0,0.9895,1.0,1.0,0.0,0.9878,0.8924
d8b0d93d_seg003.wav,82,C,36.8,C major,1.0,1.0,1.0,1.0,0.0,0.9878,0.9257
d8b0d93d_seg004.wav,86,C,36.8,C major,1.0,1.0,1.0,1.0,0.0,0.9884,0.9151
d8b0d93d_seg005.wav,97,C,36.2,C major,1.0,1.0,1.0,1.0,0.0,0.9794,0.9134
d8b0d93d_seg006.wav,97,G,35.8,G major,1.0,1.0,1.0,1.0,0.0,1.0,0.9305
d8b0d93d_seg007.wav,86,D,34.7,D minor,1.0,0.9688,1.0,1.0,0.0,1.0,0.9562
d8b0d93d_seg008.wav,85,C,36.8,G major,1.0,1.0,1.0,1.0,0.0,0.9882,0.9074
d8b0d93d_seg009.wav,87,C,37.8,C major,1.0,0.9913,1.0,1.0,0.0,0.9885,0.8971
d8b0d93d_seg010.wav,88,C,36.2,C major,1.0,1.0,1.0,1.0,0.0,1.0,0.9249
d8b0d93d_seg011.wav,84,C,36.7,C major,1.0,1.0,1.0,1.0,0.0,1.0,0.9184
d8b0d93d_seg012.wav,92,C,37.1,C major,1.0,1.0,1.0,1.0,0.0,1.0,0.9128
d8b0d93d_seg013.wav,104,C,36.5,C major,0.9936,0.9936,0.9936,0.9904,0.0096,1.0,0.9091
d8b0d93d_seg014.wav,85,C,36.3,A minor,1.0,1.0,1.0,1.0,0.0,1.0,0.9256
d8b0d93d_seg015.wav,83,C,36.7,C major,1.0,1.0,1.0,1.0,0.0,0.988,0.9174
d8b0d93d_seg016.wav,95,C,37.2,C major,1.0,0.9858,1.0,1.0,0.0,0.9895,0.904
d8b0d93d_seg017.wav,101,C,37.1,C major,0.9919,0.9803,0.9919,0.9901,0.0099,1.0,0.8898
d8b0d93d_seg018.wav,90,C,35.6,C major,0.9909,0.9909,0.9909,0.9889,0.0111,1.0,0.9268
d8b0d93d_seg019.wav,84,C,35.1,C major,1.0,1.0,1.0,1.0,0.0,0.9881,0.9502
d8b0d93d_seg020.wav,94,C,34.0,C major,1.0,1.0,1.0,1.0,0.0,0.9681,0.964
d8b0d93d_seg021.wav,88,C,33.9,C major,0.9908,0.9829,0.9908,0.9886,0.0114,0.9886,0.965
d8b0d93d_seg022.wav,79,D,34.7,G major,0.9806,0.9806,0.9806,0.9873,0.0127,1.0,0.9432
d8b0d93d_seg023.wav,74,C,38.7,D minor,1.0,0.8704,1.0,1.0,0.0,0.9865,0.8801
d8b0d93d_seg024.wav,78,C,39.8,C major,1.0,0.8823,1.0,1.0,0.0,1.0,0.8701
d8b0d93d_seg025.wav,80,C,35.8,C major,1.0,0.9812,1.0,1.0,0.0,0.9875,0.9251
d8b0d93d_seg026.wav,75,C,34.6,C major,1.0,1.0,1.0,1.0,0.0,0.9733,0.9526
d8b0d93d_seg027.wav,87,C,34.7,C major,1.0,1.0,1.0,1.0,0.0,1.0,0.9581
d8b0d93d_seg028.wav,96,C,35.5,C major,1.0,1.0,1.0,1.0,0.0,1.0,0.9395
de7b5a9d_seg000.wav,28,D#,-36.4,D# major,0.9363,0.8708,0.9363,0.9286,0.0714,1.0,0.8813
de7b5a9d_seg001.wav,39,D#,-37.5,D# major,0.9535,0.8604,0.9535,0.9487,0.0513,1.0,0.8708
de7b5a9d_seg002.wav,41,D#,-35.4,D# major,0.9559,0.91,0.9559,0.9512,0.0488,0.9268,0.8774
de7b5a9d_seg003.wav,48,D#,-35.8,D# major,0.9848,0.8531,0.9848,0.9792,0.0208,0.9167,0.8722
de7b5a9d_seg004.wav,44,D#,-38.6,D# major,0.9684,0.7731,0.9684,0.9545,0.0455,0.9091,0.8266
de7b5a9d_seg005.wav,42,D#,-39.9,D# major,0.9435,0.7162,0.9435,0.9286,0.0714,0.9524,0.8178
de7b5a9d_seg006.wav,43,D#,-41.4,D# major,0.9772,0.7303,0.9772,0.9767,0.0233,0.9302,0.8244
de7b5a9d_seg007.wav,44,D#,-41.1,D# major,1.0,0.7908,1.0,1.0,0.0,0.9545,0.8576
de7b5a9d_seg008.wav,42,D#,-47.5,D# major,0.9328,0.91,0.9328,0.9286,0.0714,0.9524,0.7944
de7b5a9d_seg009.wav,42,A#,-47.1,D# major,0.9572,0.8896,0.9572,0.9524,0.0476,0.9286,0.7991
de7b5a9d_seg010.wav,45,A,45.3,A major,0.9761,0.7274,0.9761,0.9778,0.0222,0.9778,0.829
de7b5a9d_seg011.wav,35,D,44.3,A major,1.0,0.8707,1.0,1.0,0.0,1.0,0.84
