step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
1,1,2.669,0.0,0.5,0.0,-0.0,2.00e-06,10.8,17.28
2,1,2.523,-0.0,0.0,-0.0,0.0,4.00e-06,10.8,17.65
3,1,2.5137,0.0003,0.5,0.0,0.0,6.00e-06,10.9,17.65
4,1,2.5183,0.0022,0.5,0.001,0.001,8.00e-06,10.9,17.65
5,1,2.5781,-0.0013,0.0,0.002,0.002,1.00e-05,10.9,17.64
6,1,2.4935,0.0046,0.5,0.001,0.0,1.20e-05,10.9,17.64
7,1,1.6322,-0.0061,0.5,0.001,0.001,1.40e-05,10.9,17.64
8,1,1.9913,0.0201,1.0,0.001,-0.001,1.60e-05,10.9,17.66
9,1,2.7075,-0.0108,0.5,-0.001,-0.0,1.80e-05,11.0,17.66
10,1,2.4819,0.011,0.5,-0.001,-0.002,2.00e-05,11.0,17.66
11,1,2.6059,0.0101,1.0,-0.001,-0.002,2.00e-05,11.0,17.66
12,1,1.6147,0.0339,0.5,0.003,0.0,1.99e-05,11.0,17.65
13,1,2.5062,0.0251,1.0,0.001,-0.002,1.98e-05,11.0,17.64
14,1,2.1627,-0.0367,0.5,0.006,0.01,1.97e-05,11.0,17.64
15,1,2.6107,-0.0136,0.0,-0.006,-0.005,1.95e-05,11.0,17.66
16,1,2.1211,0.085,1.0,0.001,-0.007,1.94e-05,11.0,17.66
17,1,2.778,0.0568,1.0,-0.001,-0.007,1.91e-05,11.0,17.66
18,1,2.5684,0.0214,0.5,-0.002,-0.005,1.89e-05,11.1,17.67
19,1,1.4813,0.0522,1.0,0.002,-0.003,1.86e-05,11.0,17.65
20,1,1.4599,0.1142,1.0,0.009,-0.002,1.82e-05,11.0,17.65
21,1,2.5971,-0.0324,0.0,-0.002,0.002,1.79e-05,11.0,17.67
22,1,2.5347,0.0763,1.0,0.011,0.004,1.75e-05,11.0,17.67
23,1,2.3391,0.1664,1.0,0.011,-0.006,1.71e-05,11.0,17.67
24,1,2.0567,0.0625,1.0,-0.003,-0.009,1.66e-05,11.0,17.65
25,1,2.5266,0.1342,1.0,0.025,0.012,1.62e-05,11.0,17.67
26,1,2.5851,-0.0566,0.5,-0.005,0.001,1.57e-05,11.0,17.65
27,1,2.8386,0.0252,0.5,0.015,0.013,1.52e-05,11.0,17.67
28,1,1.606,0.065,1.0,0.006,-0.001,1.46e-05,11.1,17.68
29,1,1.4658,-0.1547,0.0,-0.011,0.004,1.41e-05,11.0,17.67
30,1,2.0377,0.0994,1.0,0.001,-0.009,1.35e-05,11.0,17.68
31,1,2.6438,0.1216,1.0,-0.002,-0.014,1.30e-05,11.0,17.66
32,2,2.1928,0.778,1.0,0.056,-0.022,1.24e-05,11.0,17.66
33,2,1.8575,0.7185,1.0,0.036,-0.036,1.18e-05,11.0,17.65
34,2,1.6046,1.7941,1.0,0.102,-0.078,1.12e-05,11.0,17.65
35,2,2.1099,1.0889,1.0,0.055,-0.054,1.06e-05,11.0,17.66
36,2,1.8171,1.02,1.0,0.076,-0.026,1.00e-05,11.0,17.64
37,2,2.415,0.564,1.0,0.016,-0.04,9.40e-06,11.0,17.65
38,2,1.1722,0.8445,1.0,0.045,-0.04,8.79e-06,11.0,17.66
39,2,2.1881,0.7962,1.0,0.038,-0.042,8.20e-06,11.0,17.67
40,2,2.5561,0.9406,1.0,0.04,-0.055,7.61e-06,11.0,17.68
41,2,2.0445,0.942,1.0,0.049,-0.045,7.02e-06,11.0,17.66
42,2,1.1957,1.3909,1.0,0.057,-0.082,6.45e-06,11.0,17.67
43,2,2.1248,1.2251,1.0,0.038,-0.085,5.90e-06,11.0,17.66
44,2,1.2774,0.5706,1.0,0.021,-0.036,5.35e-06,11.0,17.65
45,2,2.5262,0.622,1.0,0.039,-0.023,4.83e-06,11.0,17.67
46,2,1.8002,0.4638,1.0,0.006,-0.041,4.32e-06,11.0,17.66
47,2,2.3809,0.5998,1.0,0.016,-0.044,3.83e-06,11.0,17.66
48,2,2.1908,1.2814,1.0,0.066,-0.062,3.37e-06,11.0,17.66
49,2,2.0703,0.9096,1.0,0.034,-0.057,2.93e-06,11.1,17.66
50,2,2.2366,0.873,1.0,0.048,-0.039,2.51e-06,11.0,17.67
51,2,2.1627,0.8599,1.0,0.045,-0.041,2.13e-06,11.0,17.67
52,2,1.6837,1.0202,1.0,0.014,-0.088,1.77e-06,11.0,17.66
53,2,2.728,0.5683,1.0,0.023,-0.034,1.44e-06,11.1,17.67
54,2,1.843,0.8028,1.0,0.033,-0.047,1.15e-06,11.1,17.66
55,2,2.1643,0.8942,1.0,0.032,-0.057,8.81e-07,11.0,17.67
56,2,2.1333,0.5302,1.0,0.017,-0.036,6.50e-07,11.0,17.66
57,2,2.2948,1.1965,1.0,0.048,-0.071,4.53e-07,11.0,17.66
58,2,2.4595,1.6416,1.0,0.088,-0.077,2.91e-07,11.0,17.66
59,2,1.9771,1.9336,1.0,0.084,-0.109,1.64e-07,11.0,17.66
60,2,1.9103,1.1758,1.0,0.041,-0.077,7.29e-08,11.1,17.67
61,2,2.4688,0.8829,1.0,0.046,-0.042,1.82e-08,11.1,17.67
62,2,2.0898,0.8302,1.0,0.026,-0.057,0.00e+00,11.0,17.68
