step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
1,1,2.6928,0.0,0.5,-0.0,-0.0,2.00e-06,6.5,11.14
2,1,2.5778,0.0,0.5,-0.0,-0.0,4.00e-06,6.5,11.41
3,1,2.5368,-0.0007,0.0,0.0,0.0,6.00e-06,6.5,11.43
4,1,2.5384,0.0049,1.0,0.0,-0.0,8.00e-06,6.6,11.42
5,1,2.6164,0.002,1.0,0.002,0.002,1.00e-05,6.7,11.42
6,1,2.5123,0.0224,1.0,0.002,-0.001,1.20e-05,6.6,11.41
7,1,1.7802,-0.0032,0.5,0.002,0.002,1.40e-05,6.6,11.43
8,1,2.0291,0.024,0.5,0.003,0.001,1.60e-05,6.6,11.43
9,1,2.7016,0.0346,1.0,0.001,-0.003,1.80e-05,6.7,11.41
10,1,2.4519,0.1101,0.5,0.009,-0.002,2.00e-05,6.6,11.43
11,1,2.6024,0.1089,1.0,0.006,-0.004,2.00e-05,8.5,11.43
12,1,1.768,0.0488,1.0,0.002,-0.003,2.00e-05,573.7,11.43
13,1,2.4353,0.2445,1.0,0.017,-0.008,1.99e-05,22.7,11.41
14,1,2.1978,-0.0261,0.0,-0.003,-0.001,1.99e-05,47.8,11.43
15,1,2.6498,-0.0085,0.0,0.004,0.004,1.98e-05,45.6,11.43
16,1,2.1628,0.0967,1.0,0.003,-0.006,1.97e-05,1907.5,11.43
17,1,2.8013,0.0738,1.0,-0.003,-0.01,1.97e-05,947.9,11.43
18,1,2.571,0.1841,0.5,0.021,0.002,1.96e-05,819.9,11.43
19,1,1.5581,0.3055,1.0,0.024,-0.007,1.94e-05,50.6,11.44
20,1,1.6138,0.163,0.5,-0.003,-0.019,1.93e-05,44.8,11.43
21,1,2.6336,-0.0572,0.5,-0.014,-0.008,1.92e-05,880.3,11.43
22,1,2.4329,0.3702,1.0,0.006,-0.031,1.90e-05,61.3,11.42
23,1,2.324,0.2854,1.0,0.025,-0.003,1.88e-05,982.1,11.43
24,1,2.1023,0.0715,1.0,-0.005,-0.012,1.87e-05,857.8,11.43
25,1,2.3529,0.6196,1.0,0.006,-0.056,1.85e-05,44.8,11.43
26,1,2.7119,-0.106,0.5,-0.018,-0.007,1.83e-05,2035.9,11.43
27,1,2.7948,0.1985,0.5,0.018,-0.002,1.80e-05,52.9,11.43
28,1,1.7082,0.2153,1.0,0.014,-0.007,1.78e-05,44.7,11.43
29,1,1.441,0.2834,1.0,-0.012,-0.041,1.76e-05,1480.8,11.43
30,1,1.9807,0.3741,0.5,-0.013,-0.051,1.73e-05,39.8,11.43
31,1,2.6687,0.1585,0.5,0.022,0.006,1.71e-05,982.8,11.43
32,1,2.4373,0.1429,0.5,-0.013,-0.027,1.68e-05,291.2,11.43
33,1,1.9639,0.6196,0.5,-0.035,-0.097,1.65e-05,32.0,11.44
34,1,2.1215,0.1247,0.5,-0.012,-0.024,1.62e-05,6.1,11.43
35,1,2.445,0.1507,1.0,0.021,0.006,1.59e-05,6.0,11.43
36,1,2.155,0.2123,0.5,-0.044,-0.065,1.56e-05,6.1,11.42
37,1,2.5518,0.3055,0.5,-0.004,-0.035,1.53e-05,6.0,11.42
38,1,1.4487,0.5886,1.0,0.017,-0.042,1.50e-05,6.1,11.42
39,1,2.4012,0.2777,1.0,-0.022,-0.05,1.47e-05,6.0,11.42
40,1,2.8411,0.2006,0.5,-0.055,-0.075,1.43e-05,6.3,11.43
41,1,2.2454,0.4748,1.0,-0.026,-0.073,1.40e-05,6.1,11.43
42,1,1.5304,0.6994,1.0,-0.015,-0.085,1.37e-05,6.3,11.43
43,1,2.2744,0.67,1.0,-0.033,-0.1,1.33e-05,6.4,11.43
44,1,1.3585,0.9083,1.0,-0.048,-0.138,1.29e-05,6.2,11.43
45,1,2.5666,0.66,1.0,-0.008,-0.074,1.26e-05,6.2,11.43
