step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
1,1,0.6931,0.0,0.5,-0.0,-0.0,5.00e-06,4.2,10.12
2,1,0.6931,0.0,0.5,-0.0,-0.0,1.00e-05,4.3,10.39
3,1,0.6935,-0.0008,0.0,0.0,0.0,1.50e-05,4.3,10.41
4,1,0.6901,0.0062,1.0,0.001,-0.001,2.00e-05,4.4,10.4
5,1,0.6914,0.0035,1.0,0.005,0.004,2.50e-05,4.4,10.4
6,1,0.6793,0.0279,1.0,0.003,-0.003,3.00e-05,4.4,10.39
7,1,0.6947,-0.0029,0.5,0.003,0.004,3.50e-05,4.4,10.41
8,1,0.6797,0.0275,0.5,0.006,0.0,4.00e-05,4.4,10.41
9,1,0.6737,0.0396,0.5,-0.006,-0.013,4.50e-05,4.4,10.39
10,1,0.6391,0.1163,0.5,0.011,-0.013,5.00e-05,4.4,10.42
11,1,0.6291,0.1343,1.0,0.005,-0.022,5.00e-05,4.4,10.42
12,1,0.6651,0.0569,1.0,-0.013,-0.024,5.00e-05,4.4,10.41
13,1,0.5784,0.2445,1.0,-0.004,-0.053,4.99e-05,4.4,10.39
14,1,0.69,0.0065,0.5,-0.03,-0.031,4.99e-05,4.4,10.41
15,1,0.6673,0.0557,0.5,-0.04,-0.052,4.98e-05,4.5,10.41
16,1,0.7713,-0.136,0.5,-0.134,-0.107,4.97e-05,4.4,10.4
17,1,0.6067,0.1924,0.5,-0.093,-0.132,4.96e-05,4.4,10.41
18,1,0.6388,0.1254,0.5,-0.029,-0.054,4.95e-05,4.4,10.4
19,1,0.5728,0.2688,1.0,-0.019,-0.073,4.94e-05,4.4,10.42
20,1,0.5213,0.3899,1.0,-0.221,-0.299,4.93e-05,4.5,10.41
21,1,0.9218,-0.3188,0.5,-0.148,-0.084,4.91e-05,4.5,10.41
22,1,0.2597,1.3468,1.0,-0.115,-0.384,4.90e-05,4.5,10.4
23,1,0.4433,0.5998,1.0,-0.163,-0.283,4.88e-05,4.5,10.42
24,1,0.9679,-0.4482,0.5,-0.268,-0.179,4.86e-05,4.4,10.42
25,1,0.1464,1.8673,1.0,-0.254,-0.627,4.84e-05,4.4,10.41
26,1,0.8417,0.0357,0.5,-0.368,-0.376,4.82e-05,4.4,10.41
27,1,0.4119,1.0884,0.5,-0.2,-0.418,4.80e-05,4.5,10.42
28,1,0.4203,0.891,1.0,-0.279,-0.458,4.77e-05,4.4,10.41
29,1,0.3881,1.3586,0.5,-0.296,-0.568,4.74e-05,4.4,10.42
30,1,1.099,0.4132,0.5,-0.516,-0.599,4.72e-05,4.5,10.4
31,1,0.5386,0.3805,0.5,-0.308,-0.384,4.69e-05,4.4,10.41
32,1,0.5549,0.4402,0.5,-0.467,-0.555,4.66e-05,4.5,10.41
