step,epoch,loss,margin,acc,chosen_logratio,rejected_logratio,lr,sec,mps_driver_gb
1,1,0.6931,0.0,0.5,0.0,0.0,5.00e-06,1.1,5.18
2,1,0.6931,0.0,0.5,0.0,-0.0,1.00e-05,1.1,5.23
3,1,0.6946,-0.0028,0.5,-0.0,0.0,1.50e-05,1.0,5.23
4,1,0.6944,-0.0025,0.5,0.001,0.001,2.00e-05,1.0,5.23
5,1,0.6827,0.0211,1.0,0.004,0.0,2.50e-05,1.0,5.23
6,1,0.7029,-0.0193,0.5,-0.0,0.004,3.00e-05,1.1,5.23
7,1,0.685,0.0165,0.5,0.004,0.001,3.50e-05,1.1,5.23
8,1,0.684,0.0184,1.0,0.001,-0.002,4.00e-05,1.0,5.23
9,1,0.6589,0.0697,1.0,0.011,-0.003,4.50e-05,1.0,5.24
10,1,0.6869,0.0126,0.5,0.018,0.016,5.00e-05,1.0,5.23
11,1,0.6717,0.0435,1.0,0.002,-0.007,5.00e-05,1.1,5.23
12,1,0.6665,0.0547,1.0,0.037,0.026,5.00e-05,1.1,5.23
13,1,0.6955,-0.0047,0.0,-0.005,-0.004,4.99e-05,1.0,5.23
14,1,0.6764,0.0354,0.5,0.002,-0.005,4.99e-05,1.1,5.23
15,1,0.6853,0.0164,0.5,-0.006,-0.009,4.98e-05,1.1,5.23
16,1,0.6687,0.0509,0.5,-0.001,-0.011,4.98e-05,1.1,5.23
17,1,0.7161,-0.0412,0.5,-0.005,0.003,4.97e-05,1.1,5.23
18,1,0.607,0.1878,1.0,0.032,-0.006,4.96e-05,1.1,5.23
19,1,0.6902,0.0071,0.5,-0.019,-0.021,4.94e-05,1.0,5.23
20,1,0.6258,0.1396,1.0,0.009,-0.019,4.93e-05,1.1,5.23
21,1,0.605,0.1895,1.0,-0.009,-0.047,4.92e-05,1.1,5.23
22,1,0.6897,0.008,0.5,-0.017,-0.018,4.90e-05,1.1,5.23
23,1,0.6984,-0.0057,0.5,-0.01,-0.009,4.88e-05,1.0,5.23
24,1,0.7275,-0.0553,0.5,0.023,0.034,4.87e-05,1.1,5.23
25,1,0.6624,0.0812,0.5,-0.002,-0.018,4.85e-05,1.1,5.23
26,1,0.6315,0.1348,0.5,0.0,-0.027,4.83e-05,1.1,5.23
27,1,0.5485,0.3157,1.0,0.016,-0.047,4.80e-05,1.1,5.23
28,1,0.7474,-0.1051,0.0,0.002,0.023,4.78e-05,1.0,5.23
29,1,0.5517,0.3127,1.0,0.003,-0.06,4.76e-05,1.1,5.24
30,1,0.6009,0.2014,1.0,-0.002,-0.042,4.73e-05,1.1,5.25
31,1,0.5727,0.2639,1.0,0.028,-0.024,4.70e-05,1.0,5.24
32,1,0.5559,0.3041,1.0,0.036,-0.025,4.67e-05,1.1,5.24
33,1,0.4711,0.5082,1.0,-0.008,-0.11,4.65e-05,1.1,5.23
34,1,0.8246,-0.2476,0.0,-0.041,0.008,4.61e-05,1.1,5.23
35,1,0.2251,1.4681,1.0,-0.017,-0.311,4.58e-05,1.1,5.24
36,1,0.7362,-0.0443,0.5,-0.049,-0.04,4.55e-05,1.0,5.24
37,1,0.5204,0.3894,1.0,0.032,-0.046,4.52e-05,1.1,5.24
38,1,0.6743,0.0385,0.5,-0.046,-0.053,4.48e-05,1.1,5.23
39,1,0.3369,0.9954,1.0,0.054,-0.145,4.44e-05,1.0,5.23
40,1,0.772,-0.1491,0.0,-0.088,-0.058,4.41e-05,1.0,5.24
41,1,0.4167,0.6607,1.0,0.021,-0.111,4.37e-05,1.1,5.23
42,1,0.4896,0.5125,1.0,-0.052,-0.154,4.33e-05,1.0,5.23
43,1,0.7778,-0.1487,0.5,-0.111,-0.082,4.29e-05,1.1,5.23
44,1,0.4132,0.6777,1.0,-0.013,-0.148,4.25e-05,1.1,5.23
45,1,0.3801,0.9026,1.0,-0.064,-0.245,4.20e-05,1.0,5.23
46,1,0.2592,1.343,1.0,-0.005,-0.274,4.16e-05,1.1,5.23
47,1,0.5358,0.3805,1.0,-0.064,-0.14,4.12e-05,1.1,5.23
48,1,0.6114,0.2931,0.5,-0.125,-0.184,4.07e-05,1.1,5.23
49,2,0.3581,0.9285,1.0,0.055,-0.13,4.03e-05,1.0,5.23
50,2,0.6547,0.2328,0.5,-0.023,-0.07,3.98e-05,1.1,5.23
51,2,0.2295,1.7589,1.0,-0.032,-0.384,3.93e-05,1.1,5.23
52,2,0.1059,2.232,1.0,-0.062,-0.509,3.88e-05,1.0,5.23
53,2,0.3778,0.8323,1.0,-0.022,-0.188,3.83e-05,1.1,5.23
54,2,0.1015,2.3699,1.0,-0.143,-0.617,3.78e-05,1.0,5.23
55,2,0.2306,2.0056,1.0,-0.086,-0.487,3.73e-05,1.1,5.23
56,2,0.0675,2.6815,1.0,-0.166,-0.702,3.68e-05,1.1,5.24
57,2,0.2407,1.6358,1.0,-0.214,-0.541,3.63e-05,1.1,5.23
58,2,0.044,3.8817,1.0,-0.329,-1.105,3.58e-05,1.1,5.23
59,2,1.2719,-0.6788,0.5,-0.456,-0.321,3.52e-05,1.1,5.23
60,2,0.1671,1.7254,1.0,-0.156,-0.501,3.47e-05,1.1,5.23
61,2,0.0189,4.9332,1.0,-0.331,-1.318,3.42e-05,1.1,5.23
62,2,1.1154,-0.4934,0.5,-0.418,-0.319,3.36e-05,1.1,5.23
63,2,0.1586,1.7807,1.0,-0.278,-0.634,3.31e-05,1.1,5.23
64,2,1.3072,0.4312,0.5,-0.824,-0.911,3.25e-05,1.1,5.23
65,2,0.4124,3.0271,0.5,-0.241,-0.847,3.19e-05,1.1,5.23
66,2,0.5514,0.6551,0.5,-0.484,-0.615,3.14e-05,7.3,5.23
67,2,0.0764,2.876,1.0,-0.126,-0.701,3.08e-05,1.2,5.23
68,2,0.0005,9.5064,1.0,-0.698,-2.6,3.02e-05,1.0,5.23
69,2,0.7885,1.4702,0.5,-0.57,-0.864,2.97e-05,901.9,5.23
