step,train_loss,val_loss,lr,sec_per_step
0,,2.3524,0.0,
1,2.5159,,1.00e-06,1.04
2,2.2004,,2.00e-06,1.11
3,2.4551,,3.00e-06,1.14
4,2.2243,,4.00e-06,1.19
5,1.8263,,5.00e-06,1.16
6,2.4994,,6.00e-06,1.16
7,2.6308,,7.00e-06,1.16
8,2.5139,,8.00e-06,1.15
9,2.7848,,9.00e-06,1.16
10,2.3619,,1.00e-05,1.17
11,2.3925,,1.10e-05,1.15
12,2.2594,,1.20e-05,1.19
13,2.2857,,1.30e-05,1.15
14,1.7844,,1.40e-05,1.17
15,2.9152,,1.50e-05,1.14
16,1.857,,1.60e-05,1.17
17,2.622,,1.70e-05,1.16
18,2.6109,,1.80e-05,1.21
19,1.938,,1.90e-05,1.2
20,2.1121,,2.00e-05,1.15
21,2.4628,,2.10e-05,1.12
22,2.3806,,2.20e-05,1.14
23,1.9834,,2.30e-05,1.15
24,2.4761,,2.40e-05,1.16
25,2.9883,,2.50e-05,1.15
26,2.24,,2.60e-05,1.14
27,1.9559,,2.70e-05,1.15
28,2.7814,,2.80e-05,1.18
29,3.0385,,2.90e-05,1.15
30,2.4456,,3.00e-05,1.18
31,1.9012,,3.10e-05,1.14
32,2.1718,,3.20e-05,1.13
33,2.9726,,3.30e-05,1.17
34,2.6295,,3.40e-05,1.12
35,2.4959,,3.50e-05,1.12
36,2.1311,,3.60e-05,1.13
37,2.674,,3.70e-05,1.15
38,2.1686,,3.80e-05,1.16
39,2.4159,,3.90e-05,1.12
40,1.8687,,4.00e-05,1.13
41,2.9262,,4.10e-05,1.13
42,2.2511,,4.20e-05,1.12
43,2.5628,,4.30e-05,1.13
44,1.6832,,4.40e-05,1.13
45,1.8576,,4.50e-05,1.13
46,2.0911,,4.60e-05,1.15
47,2.5118,,4.70e-05,1.17
48,2.3256,,4.80e-05,1.12
49,2.0452,,4.90e-05,1.11
50,1.6115,,5.00e-05,1.12
51,2.0664,,5.10e-05,1.11
52,2.2262,,5.20e-05,1.11
53,3.3308,,5.30e-05,1.13
54,2.4355,,5.40e-05,1.12
55,2.481,,5.50e-05,1.12
56,2.5538,,5.60e-05,1.13
57,2.3843,,5.70e-05,1.13
58,2.5827,,5.80e-05,1.13
59,2.2021,,5.90e-05,1.13
60,2.8856,,6.00e-05,1.13
61,2.4498,,6.10e-05,1.11
62,2.2666,,6.20e-05,1.11
63,3.1697,,6.30e-05,1.11
64,1.7194,,6.40e-05,1.12
65,2.2211,,6.50e-05,1.11
66,2.0622,,6.60e-05,1.13
67,2.1695,,6.70e-05,1.13
68,2.3293,,6.80e-05,1.12
69,2.8058,,6.90e-05,1.11
70,2.1254,,7.00e-05,1.12
71,2.1277,,7.10e-05,1.12
72,3.1641,,7.20e-05,1.14
73,2.5263,,7.30e-05,1.14
74,1.7434,,7.40e-05,1.13
75,2.6228,,7.50e-05,1.12
76,2.2652,,7.60e-05,1.12
77,2.6192,,7.70e-05,1.11
78,2.6463,,7.80e-05,1.13
79,3.176,,7.90e-05,1.12
80,2.8339,,8.00e-05,1.11
81,1.8215,,8.10e-05,1.14
82,2.2203,,8.20e-05,1.14
83,1.7425,,8.30e-05,1.14
84,2.2879,,8.40e-05,1.13
85,1.9788,,8.50e-05,1.13
86,1.7938,,8.60e-05,1.11
87,2.1196,,8.70e-05,1.12
88,2.7994,,8.80e-05,1.14
89,1.9642,,8.90e-05,1.14
90,2.1165,,9.00e-05,1.14
91,2.7166,,9.10e-05,1.14
92,2.2908,,9.20e-05,1.14
93,2.7702,,9.30e-05,1.2
94,2.5754,,9.40e-05,1.13
95,3.1517,,9.50e-05,1.12
96,2.5443,,9.60e-05,1.14
97,1.9053,,9.70e-05,1.15
98,2.3136,,9.80e-05,1.14
99,1.7914,,9.90e-05,1.15
100,1.9714,,1.00e-04,1.15
100,,2.3149,1.00e-04,
101,1.8861,,1.00e-04,1.11
102,1.9956,,1.00e-04,1.13
103,2.3603,,1.00e-04,1.15
104,2.1251,,1.00e-04,1.19
105,2.7945,,1.00e-04,1.29
106,2.2569,,1.00e-04,1.18
107,2.9082,,1.00e-04,1.12
108,2.2834,,1.00e-04,1.16
109,3.0435,,1.00e-04,1.15
110,2.3227,,1.00e-04,1.14
111,1.7925,,1.00e-04,1.12
112,2.0863,,1.00e-04,1.17
113,2.2663,,1.00e-04,1.23
114,2.3345,,1.00e-04,1.18
115,2.563,,1.00e-04,1.25
116,2.2382,,1.00e-04,1.24
117,2.9117,,1.00e-04,1.28
118,1.9804,,1.00e-04,1.28
119,2.6139,,1.00e-04,1.25
120,2.2673,,9.99e-05,1.28
121,2.1936,,9.99e-05,1.16
122,2.0976,,9.99e-05,1.13
123,2.8446,,9.99e-05,1.16
124,1.8217,,9.99e-05,1.21
125,2.7531,,9.99e-05,1.14
126,1.9859,,9.99e-05,1.19
127,2.621,,9.99e-05,1.19
128,2.7643,,9.99e-05,1.2
129,3.7011,,9.99e-05,1.15
130,1.9877,,9.99e-05,1.14
131,1.9445,,9.99e-05,1.23
132,2.6849,,9.99e-05,1.28
133,2.7276,,9.99e-05,1.24
134,2.263,,9.99e-05,1.12
135,2.5855,,9.98e-05,1.14
136,2.2463,,9.98e-05,1.22
137,2.6829,,9.98e-05,1.16
138,2.8895,,9.98e-05,1.39
139,2.7714,,9.98e-05,1.24
140,2.4324,,9.98e-05,1.23
141,3.1828,,9.98e-05,1.19
142,1.8174,,9.98e-05,1.21
143,2.2728,,9.98e-05,1.18
144,2.8143,,9.98e-05,1.24
145,2.3088,,9.97e-05,1.15
146,2.7078,,9.97e-05,1.09
147,2.1106,,9.97e-05,1.17
148,2.3002,,9.97e-05,1.3
149,2.6145,,9.97e-05,1.11
150,1.9759,,9.97e-05,1.06
151,2.5141,,9.97e-05,1.06
152,2.5861,,9.97e-05,1.07
153,1.7381,,9.96e-05,1.1
154,2.041,,9.96e-05,1.07
155,1.964,,9.96e-05,1.07
156,1.9469,,9.96e-05,1.07
157,1.8598,,9.96e-05,1.07
158,2.4866,,9.96e-05,1.1
159,1.7594,,9.96e-05,1.08
160,2.4711,,9.95e-05,1.07
161,2.4308,,9.95e-05,1.07
162,2.3369,,9.95e-05,1.07
163,1.4487,,9.95e-05,1.1
164,2.2852,,9.95e-05,1.07
165,2.7744,,9.95e-05,1.07
166,2.4746,,9.95e-05,1.07
167,2.1354,,9.94e-05,1.07
168,2.839,,9.94e-05,1.1
169,2.2866,,9.94e-05,1.07
170,2.3427,,9.94e-05,1.07
171,2.0684,,9.94e-05,1.1
172,2.3395,,9.93e-05,1.21
173,2.7819,,9.93e-05,1.16
174,2.1277,,9.93e-05,1.13
175,2.4019,,9.93e-05,1.24
176,1.7671,,9.93e-05,1.1
177,2.4564,,9.93e-05,1.27
178,2.1697,,9.92e-05,1.41
179,1.672,,9.92e-05,1.2
180,2.2754,,9.92e-05,1.07
181,2.507,,9.92e-05,1.15
182,2.4803,,9.92e-05,1.06
183,2.3202,,9.91e-05,1.1
184,2.1926,,9.91e-05,1.08
185,2.541,,9.91e-05,1.09
