step,train_loss,val_loss,lr,sec_per_step
0,,4.6262,0.0,
1,4.6847,,1.00e-06,1.2
2,4.6919,,2.00e-06,1.15
3,4.1726,,3.00e-06,1.06
4,4.6818,,4.00e-06,1.08
5,4.4299,,5.00e-06,1.09
6,4.7412,,6.00e-06,1.08
7,4.8969,,7.00e-06,1.12
8,4.478,,8.00e-06,1.1
9,4.7898,,9.00e-06,1.08
10,4.7532,,1.00e-05,1.11
11,4.7355,,1.10e-05,1.09
12,4.4556,,1.20e-05,1.35
13,4.7215,,1.30e-05,1.08
14,4.8642,,1.40e-05,1.09
15,4.6969,,1.50e-05,1.08
16,4.6087,,1.60e-05,1.1
17,4.7941,,1.70e-05,1.11
18,4.7088,,1.80e-05,1.13
19,4.8231,,1.90e-05,1.11
20,4.5632,,2.00e-05,1.15
21,4.7755,,2.10e-05,1.21
22,4.8533,,2.20e-05,1.13
23,4.6783,,2.30e-05,1.21
24,4.4514,,2.40e-05,1.11
25,4.9286,,2.50e-05,1.14
26,4.4652,,2.60e-05,1.11
27,4.5956,,2.70e-05,1.65
28,4.8486,,2.80e-05,1.73
29,4.7467,,2.90e-05,1.14
30,4.4953,,3.00e-05,1.18
31,4.5335,,3.10e-05,1.21
32,4.5959,,3.20e-05,1.1
33,4.3195,,3.30e-05,1.19
34,4.89,,3.40e-05,1.1
35,5.066,,3.50e-05,1.12
36,4.9355,,3.60e-05,1.13
37,4.7484,,3.70e-05,1.24
38,4.8171,,3.80e-05,1.22
39,4.6976,,3.90e-05,1.11
40,4.5131,,4.00e-05,1.12
41,4.9573,,4.10e-05,1.29
42,4.7046,,4.20e-05,1.12
43,4.7808,,4.30e-05,1.25
44,4.4408,,4.40e-05,1.15
45,4.5573,,4.50e-05,1.1
46,4.7007,,4.60e-05,1.08
47,4.8473,,4.70e-05,1.18
48,4.8297,,4.80e-05,1.12
49,4.8645,,4.90e-05,1.16
50,4.1883,,5.00e-05,1.11
51,4.5889,,5.10e-05,1.09
52,4.6218,,5.20e-05,1.14
53,5.0304,,5.30e-05,1.24
54,4.7471,,5.40e-05,1.12
55,5.0286,,5.50e-05,1.13
56,4.6302,,5.60e-05,1.14
57,4.6199,,5.70e-05,1.22
58,4.6334,,5.80e-05,1.11
59,4.4258,,5.90e-05,1.15
60,4.8363,,6.00e-05,1.05
61,4.5488,,6.10e-05,1.07
62,4.5231,,6.20e-05,1.14
63,4.7626,,6.30e-05,1.04
64,4.5043,,6.40e-05,1.04
65,4.5089,,6.50e-05,1.03
66,4.5258,,6.60e-05,1.09
67,4.7346,,6.70e-05,1.17
68,4.5768,,6.80e-05,1.34
69,4.7419,,6.90e-05,1.21
70,4.4031,,7.00e-05,1.04
71,4.598,,7.10e-05,1.08
72,4.7019,,7.20e-05,1.12
73,4.4549,,7.30e-05,1.06
74,4.8165,,7.40e-05,1.15
75,4.7979,,7.50e-05,1.07
76,4.258,,7.60e-05,1.11
77,4.7458,,7.70e-05,1.26
78,4.8539,,7.80e-05,1.02
79,4.8091,,7.90e-05,1.07
80,4.7985,,8.00e-05,1.04
81,4.496,,8.10e-05,1.03
82,4.5915,,8.20e-05,1.09
83,4.3692,,8.30e-05,1.09
84,4.2926,,8.40e-05,1.13
85,4.215,,8.50e-05,1.07
86,4.5184,,8.60e-05,1.05
87,4.3546,,8.70e-05,1.14
88,4.7993,,8.80e-05,1.05
89,4.8,,8.90e-05,1.03
90,4.4103,,9.00e-05,1.06
91,4.6172,,9.10e-05,1.11
92,4.7718,,9.20e-05,1.14
93,4.6375,,9.30e-05,1.03
94,4.6757,,9.40e-05,1.02
95,4.6874,,9.50e-05,1.03
96,4.8116,,9.60e-05,1.05
97,4.6204,,9.70e-05,1.13
98,4.7433,,9.80e-05,1.04
99,4.7044,,9.90e-05,1.06
100,4.4741,,1.00e-04,1.05
100,,4.5944,1.00e-04,
101,4.7553,,1.00e-04,1.12
102,4.5544,,1.00e-04,1.11
103,4.2771,,1.00e-04,1.18
104,4.5386,,1.00e-04,1.06
105,4.5641,,1.00e-04,1.07
106,4.6349,,1.00e-04,1.08
107,4.738,,1.00e-04,1.04
108,4.7378,,1.00e-04,1.17
109,4.9865,,1.00e-04,1.07
110,4.5742,,1.00e-04,1.09
111,4.5407,,1.00e-04,1.11
112,4.7279,,1.00e-04,1.07
113,4.6173,,1.00e-04,1.17
114,4.6258,,1.00e-04,1.06
115,4.8061,,1.00e-04,1.09
116,4.3762,,1.00e-04,1.21
117,4.822,,1.00e-04,1.2
118,4.6259,,1.00e-04,1.4
119,4.4137,,1.00e-04,1.13
120,4.861,,9.99e-05,1.25
121,4.4865,,9.99e-05,1.1
122,4.8594,,9.99e-05,1.08
123,4.7962,,9.99e-05,1.21
124,4.6973,,9.99e-05,1.22
125,4.7,,9.99e-05,1.17
126,4.6357,,9.99e-05,1.25
127,4.7523,,9.99e-05,1.09
128,4.8329,,9.99e-05,1.15
129,4.8597,,9.99e-05,1.05
130,4.6089,,9.99e-05,1.07
131,4.8517,,9.99e-05,1.07
132,4.6731,,9.99e-05,1.07
133,4.6404,,9.99e-05,1.13
134,4.5864,,9.99e-05,1.05
135,4.7576,,9.98e-05,1.09
136,4.8094,,9.98e-05,1.08
137,4.3917,,9.98e-05,1.08
138,4.6313,,9.98e-05,1.18
139,4.3709,,9.98e-05,1.1
140,4.5824,,9.98e-05,1.1
141,4.8113,,9.98e-05,1.07
142,4.6722,,9.98e-05,1.09
143,4.4013,,9.98e-05,1.15
144,4.7494,,9.98e-05,1.08
145,4.6827,,9.97e-05,1.11
146,4.3809,,9.97e-05,1.08
147,4.7526,,9.97e-05,1.08
148,4.6265,,9.97e-05,1.16
149,4.9459,,9.97e-05,1.09
150,4.5332,,9.97e-05,1.08
151,4.5807,,9.97e-05,1.06
152,4.9427,,9.97e-05,1.1
153,4.4016,,9.96e-05,1.17
154,4.5246,,9.96e-05,1.09
155,4.6411,,9.96e-05,1.09
156,4.5827,,9.96e-05,1.1
157,4.5183,,9.96e-05,1.08
158,4.6827,,9.96e-05,1.16
159,4.1217,,9.96e-05,1.1
160,4.7313,,9.95e-05,1.09
161,4.3532,,9.95e-05,1.09
162,4.6535,,9.95e-05,1.11
163,4.6163,,9.95e-05,1.17
164,4.9208,,9.95e-05,1.07
165,4.7227,,9.95e-05,1.1
166,4.7191,,9.95e-05,1.1
167,4.6221,,9.94e-05,1.11
168,4.7076,,9.94e-05,1.15
169,4.4028,,9.94e-05,1.1
170,4.7103,,9.94e-05,1.09
171,4.581,,9.94e-05,1.09
172,4.5463,,9.93e-05,1.09
173,4.671,,9.93e-05,1.15
174,4.3577,,9.93e-05,1.1
175,4.7545,,9.93e-05,1.11
176,4.5468,,9.93e-05,1.09
177,4.4576,,9.93e-05,1.11
178,4.6929,,9.92e-05,1.17
179,4.4991,,9.92e-05,1.09
180,4.6917,,9.92e-05,1.12
181,4.2788,,9.92e-05,1.1
182,4.6393,,9.92e-05,1.09
183,4.6991,,9.91e-05,1.18
