step,train_loss,val_loss,lr,sec_per_step
0,,4.4711,0.0,
1,4.4133,,1.00e-06,1.03
2,4.4962,,2.00e-06,1.01
3,4.0363,,3.00e-06,0.96
4,4.5297,,4.00e-06,0.96
5,4.2964,,5.00e-06,0.95
6,4.797,,6.00e-06,0.94
7,4.7443,,7.00e-06,0.95
8,4.3836,,8.00e-06,0.94
9,4.5953,,9.00e-06,0.95
10,4.5743,,1.00e-05,0.97
11,4.6662,,1.10e-05,0.99
12,4.3763,,1.20e-05,1.07
13,4.4811,,1.30e-05,1.03
14,4.6935,,1.40e-05,1.04
15,4.6892,,1.50e-05,1.03
16,4.4584,,1.60e-05,1.04
17,4.6021,,1.70e-05,1.06
18,4.6394,,1.80e-05,1.0
19,4.6796,,1.90e-05,1.04
20,4.4297,,2.00e-05,1.04
21,4.8115,,2.10e-05,1.02
22,4.6643,,2.20e-05,1.06
23,4.639,,2.30e-05,1.01
24,4.7262,,2.40e-05,1.02
25,4.7544,,2.50e-05,1.04
26,4.419,,2.60e-05,1.01
27,4.5935,,2.70e-05,1.02
28,4.706,,2.80e-05,1.02
29,4.6176,,2.90e-05,1.01
30,4.3377,,3.00e-05,1.01
31,4.25,,3.10e-05,1.03
32,4.5669,,3.20e-05,1.02
33,4.6647,,3.30e-05,1.02
34,4.6382,,3.40e-05,1.04
35,4.9805,,3.50e-05,1.04
36,4.7943,,3.60e-05,1.03
37,4.5708,,3.70e-05,1.02
38,4.5577,,3.80e-05,1.02
39,4.6569,,3.90e-05,1.02
40,4.4248,,4.00e-05,1.02
41,4.6512,,4.10e-05,1.04
42,4.6047,,4.20e-05,1.02
43,4.6282,,4.30e-05,1.01
44,4.3152,,4.40e-05,1.02
45,4.4951,,4.50e-05,1.01
46,4.6325,,4.60e-05,1.05
47,4.6782,,4.70e-05,1.02
48,4.643,,4.80e-05,1.01
49,4.6952,,4.90e-05,1.03
50,4.1347,,5.00e-05,1.05
51,4.4038,,5.10e-05,1.03
52,4.5295,,5.20e-05,1.03
53,4.8132,,5.30e-05,1.04
54,4.6096,,5.40e-05,1.03
55,4.8441,,5.50e-05,1.04
56,4.6736,,5.60e-05,1.03
57,4.6337,,5.70e-05,1.02
58,4.6234,,5.80e-05,1.03
59,4.5342,,5.90e-05,1.03
60,4.6439,,6.00e-05,1.03
61,4.4091,,6.10e-05,1.03
62,4.4142,,6.20e-05,1.04
63,4.5846,,6.30e-05,1.01
64,4.4029,,6.40e-05,1.04
65,4.2917,,6.50e-05,1.03
66,4.586,,6.60e-05,1.03
67,4.605,,6.70e-05,1.05
68,4.5057,,6.80e-05,1.01
69,4.5202,,6.90e-05,1.02
70,4.424,,7.00e-05,1.03
71,4.5302,,7.10e-05,1.01
72,4.4522,,7.20e-05,1.01
73,4.3561,,7.30e-05,1.01
74,4.6168,,7.40e-05,1.01
75,4.7652,,7.50e-05,1.01
76,4.3495,,7.60e-05,1.03
77,4.6245,,7.70e-05,1.03
78,4.643,,7.80e-05,1.0
79,4.6769,,7.90e-05,1.01
80,4.8011,,8.00e-05,1.01
81,4.4292,,8.10e-05,1.01
82,4.4824,,8.20e-05,1.03
83,4.652,,8.30e-05,1.01
84,4.3454,,8.40e-05,1.0
85,4.3303,,8.50e-05,1.04
86,4.5801,,8.60e-05,1.01
87,4.5328,,8.70e-05,1.02
88,4.6789,,8.80e-05,1.03
89,4.6004,,8.90e-05,1.03
90,4.4117,,9.00e-05,1.03
91,4.5681,,9.10e-05,1.01
92,4.553,,9.20e-05,1.01
93,4.5688,,9.30e-05,1.02
94,4.6562,,9.40e-05,1.02
95,4.535,,9.50e-05,1.01
96,4.6358,,9.60e-05,1.16
97,4.4914,,9.70e-05,1.11
98,4.7447,,9.80e-05,1.16
99,4.5856,,9.90e-05,1.12
100,4.3045,,1.00e-04,1.14
100,,4.4369,1.00e-04,
101,4.594,,1.00e-04,1.09
102,4.5971,,1.00e-04,1.06
103,4.266,,1.00e-04,1.02
104,4.4128,,1.00e-04,1.17
105,4.427,,1.00e-04,1.09
106,4.5124,,1.00e-04,1.1
107,4.5502,,1.00e-04,1.03
108,4.6314,,1.00e-04,1.19
109,4.873,,1.00e-04,1.04
110,4.4007,,1.00e-04,1.02
111,4.3482,,1.00e-04,1.02
112,4.4961,,1.00e-04,1.03
113,4.4497,,1.00e-04,1.01
114,4.4393,,1.00e-04,1.01
115,4.5494,,1.00e-04,1.02
116,4.4899,,1.00e-04,1.14
117,4.62,,1.00e-04,1.06
118,4.6161,,1.00e-04,1.2
119,4.4912,,1.00e-04,1.06
