step,train_loss,val_loss,lr,sec_per_step
0,,4.6262,0.0,
1,9.3846,,1.00e-06,11.16
2,9.2943,,2.00e-06,10.83
3,9.638,,3.00e-06,10.83
4,9.3807,,4.00e-06,10.92
5,9.5523,,5.00e-06,11.72
6,9.5295,,6.00e-06,11.07
7,9.2687,,7.00e-06,10.81
8,9.4557,,8.00e-06,10.81
9,9.3307,,9.00e-06,10.95
10,9.5068,,1.00e-05,10.77
11,9.3461,,1.10e-05,10.76
12,9.4293,,1.20e-05,10.85
13,9.3406,,1.30e-05,10.76
14,9.244,,1.40e-05,10.76
15,9.4529,,1.50e-05,10.77
16,9.2915,,1.60e-05,10.77
17,9.267,,1.70e-05,10.93
18,9.2361,,1.80e-05,10.78
19,9.2864,,1.90e-05,10.86
20,9.1436,,2.00e-05,10.78
21,9.228,,2.10e-05,10.86
22,9.1719,,2.20e-05,10.95
23,9.1703,,2.30e-05,10.87
24,9.3354,,2.40e-05,10.84
25,9.048,,2.50e-05,10.97
26,8.9786,,2.60e-05,10.78
27,9.0526,,2.70e-05,10.78
28,8.9476,,2.80e-05,10.82
29,9.0043,,2.90e-05,10.76
30,8.8647,,3.00e-05,10.78
31,8.8255,,3.10e-05,10.8
32,8.761,,3.20e-05,10.81
33,8.6803,,3.30e-05,10.92
34,8.616,,3.40e-05,10.84
35,8.5007,,3.50e-05,10.8
36,8.4501,,3.60e-05,10.86
37,8.3421,,3.70e-05,10.92
38,8.4001,,3.80e-05,10.83
39,8.1242,,3.90e-05,16.25
40,8.1898,,4.00e-05,14.51
41,8.0831,,4.10e-05,14.52
42,8.0391,,4.20e-05,10.4
43,7.7942,,4.30e-05,10.85
44,7.708,,4.40e-05,10.29
45,7.6574,,4.50e-05,9.77
46,7.7366,,4.60e-05,11.68
47,7.6911,,4.70e-05,9.6
48,7.601,,4.80e-05,9.6
49,7.5089,,4.90e-05,9.37
50,7.3286,,5.00e-05,9.36
51,7.4081,,5.10e-05,9.32
52,7.3164,,5.20e-05,14.81
53,7.4256,,5.30e-05,10.42
54,7.3327,,5.40e-05,9.8
55,7.287,,5.50e-05,10.22
56,7.035,,5.60e-05,9.85
57,7.0767,,5.70e-05,9.78
58,7.0801,,5.80e-05,9.96
59,7.0156,,5.90e-05,9.71
60,7.2277,,6.00e-05,9.58
61,7.1796,,6.10e-05,10.09
62,7.1483,,6.20e-05,10.06
63,7.0917,,6.30e-05,11.16
64,7.1273,,6.40e-05,11.43
65,6.9568,,6.50e-05,12.74
66,7.0067,,6.60e-05,10.96
67,7.0009,,6.70e-05,11.66
68,6.8345,,6.80e-05,9.77
69,7.0056,,6.90e-05,9.49
70,6.8982,,7.00e-05,9.75
71,6.9267,,7.10e-05,10.65
72,7.0741,,7.20e-05,9.83
73,6.9193,,7.30e-05,9.9
74,7.0225,,7.40e-05,9.7
75,7.0403,,7.50e-05,9.68
76,6.8099,,7.60e-05,9.78
77,7.0992,,7.70e-05,9.88
78,6.9789,,7.80e-05,9.83
79,7.0049,,7.90e-05,10.05
80,6.9442,,8.00e-05,9.96
81,6.9956,,8.10e-05,9.74
82,6.7764,,8.20e-05,9.7
83,6.7834,,8.30e-05,9.77
84,6.6979,,8.40e-05,10.18
85,6.6608,,8.50e-05,10.61
86,6.6546,,8.60e-05,11.44
87,6.63,,8.70e-05,10.39
88,7.0985,,8.80e-05,10.23
89,7.1412,,8.90e-05,10.66
90,6.8578,,9.00e-05,10.4
91,6.8347,,9.10e-05,10.29
92,7.1158,,9.20e-05,10.3
93,6.9265,,9.30e-05,9.71
94,6.711,,9.40e-05,9.68
95,6.9575,,9.50e-05,9.8
96,6.9599,,9.60e-05,9.8
97,6.8577,,9.70e-05,9.74
98,7.0314,,9.80e-05,9.5
99,7.1459,,9.90e-05,9.76
100,6.8021,,1.00e-04,11.48
101,6.8883,,1.00e-04,10.18
102,6.7587,,1.00e-04,10.53
103,6.7967,,1.00e-04,10.39
104,6.8491,,1.00e-04,10.57
105,6.8241,,1.00e-04,9.98
106,6.9717,,1.00e-04,10.12
107,7.0006,,1.00e-04,10.13
108,7.0791,,1.00e-04,9.97
109,7.0191,,1.00e-04,10.17
110,6.9303,,1.00e-04,10.11
111,7.0391,,1.00e-04,10.14
112,6.7532,,1.00e-04,10.75
113,6.9595,,1.00e-04,11.33
114,6.8184,,1.00e-04,9.94
115,6.9386,,1.00e-04,10.1
116,6.7527,,1.00e-04,10.42
117,6.8801,,1.00e-04,10.03
118,6.8945,,1.00e-04,9.95
119,6.7672,,1.00e-04,9.94
120,7.0471,,9.99e-05,9.89
121,6.7364,,9.99e-05,9.97
122,7.0002,,9.99e-05,10.58
123,6.9689,,9.99e-05,11.15
124,6.8782,,9.99e-05,10.97
125,6.8557,,9.99e-05,11.11
126,6.8678,,9.99e-05,10.35
127,6.8489,,9.99e-05,9.9
128,6.9543,,9.99e-05,10.16
129,6.9114,,9.99e-05,10.29
130,6.9441,,9.99e-05,10.12
131,6.9896,,9.99e-05,10.19
132,6.8173,,9.99e-05,10.2
133,6.8045,,9.99e-05,11.04
134,6.8271,,9.99e-05,11.8
135,7.0758,,9.98e-05,10.76
136,6.8714,,9.98e-05,10.01
137,6.8278,,9.98e-05,9.99
138,6.9073,,9.98e-05,10.12
139,6.8398,,9.98e-05,9.93
140,6.858,,9.98e-05,10.83
141,6.9249,,9.98e-05,11.75
142,6.7397,,9.98e-05,12.76
143,6.7152,,9.98e-05,11.18
144,6.8541,,9.98e-05,13.97
145,6.8346,,9.97e-05,15.88
146,6.6251,,9.97e-05,10.49
147,7.0845,,9.97e-05,10.68
148,6.6908,,9.97e-05,12.29
149,6.97,,9.97e-05,12.62
150,6.5521,,9.97e-05,11.26
151,6.8072,,9.97e-05,15.04
152,7.0561,,9.97e-05,18.04
153,6.89,,9.96e-05,10.77
154,6.8978,,9.96e-05,10.16
155,6.6836,,9.96e-05,10.22
156,6.8798,,9.96e-05,11.23
157,6.7455,,9.96e-05,12.22
158,6.9644,,9.96e-05,10.31
159,6.7574,,9.96e-05,9.98
160,6.8345,,9.95e-05,9.67
161,6.6995,,9.95e-05,9.74
162,6.9745,,9.95e-05,9.6
163,6.7293,,9.95e-05,9.4
164,6.9592,,9.95e-05,9.42
165,7.0066,,9.95e-05,9.63
166,7.1648,,9.95e-05,9.67
167,6.8725,,9.94e-05,9.58
168,6.8453,,9.94e-05,9.54
169,6.7098,,9.94e-05,9.42
170,6.723,,9.94e-05,9.56
171,6.8043,,9.94e-05,9.48
172,6.8528,,9.93e-05,9.48
173,6.7812,,9.93e-05,9.55
174,6.6715,,9.93e-05,13.22
175,6.8792,,9.93e-05,14.79
176,6.827,,9.93e-05,9.71
177,6.9768,,9.93e-05,9.52
178,6.8048,,9.92e-05,9.67
179,6.5931,,9.92e-05,9.79
180,6.8198,,9.92e-05,9.72
181,6.7219,,9.92e-05,9.51
182,6.7396,,9.92e-05,9.48
183,6.8406,,9.91e-05,9.51
184,6.7193,,9.91e-05,9.55
185,6.5283,,9.91e-05,9.57
186,6.9584,,9.91e-05,9.67
187,6.7381,,9.91e-05,9.51
188,6.775,,9.90e-05,9.48
189,6.8382,,9.90e-05,9.51
190,6.966,,9.90e-05,9.51
191,6.9204,,9.90e-05,9.58
192,6.8438,,9.89e-05,9.61
193,6.9327,,9.89e-05,9.46
194,6.6896,,9.89e-05,9.48
195,6.9704,,9.89e-05,9.51
196,7.0038,,9.88e-05,9.5
197,6.609,,9.88e-05,9.52
198,6.8911,,9.88e-05,9.58
199,6.8474,,9.88e-05,9.57
200,6.9284,,9.87e-05,10.98
201,6.7847,,9.87e-05,10.92
202,6.8531,,9.87e-05,10.93
203,7.092,,9.87e-05,10.45
204,6.7645,,9.86e-05,10.68
205,6.7174,,9.86e-05,10.29
206,6.8871,,9.86e-05,10.31
207,6.7981,,9.86e-05,10.29
208,6.845,,9.85e-05,10.67
209,6.8285,,9.85e-05,10.0
210,6.7787,,9.85e-05,9.9
211,6.6683,,9.85e-05,9.78
212,7.0251,,9.84e-05,9.78
213,6.9886,,9.84e-05,9.72
214,6.8493,,9.84e-05,9.7
215,6.7407,,9.83e-05,9.75
216,6.8892,,9.83e-05,10.17
217,6.6226,,9.83e-05,9.75
218,6.8793,,9.83e-05,9.59
219,6.6002,,9.82e-05,11.61
220,6.8393,,9.82e-05,10.45
221,6.7713,,9.82e-05,9.84
222,6.7992,,9.81e-05,10.0
223,6.8766,,9.81e-05,9.87
224,6.7953,,9.81e-05,9.91
225,6.9072,,9.80e-05,11.52
226,6.8153,,9.80e-05,10.12
227,6.8853,,9.80e-05,10.13
228,6.7366,,9.80e-05,10.05
229,6.9475,,9.79e-05,9.94
230,6.8546,,9.79e-05,9.98
231,6.7203,,9.79e-05,9.96
232,6.7709,,9.78e-05,9.86
233,6.8692,,9.78e-05,10.04
234,6.7611,,9.78e-05,10.12
235,6.86,,9.77e-05,9.84
236,6.9466,,9.77e-05,9.83
237,7.0625,,9.77e-05,9.86
238,6.7646,,9.76e-05,10.05
239,6.8774,,9.76e-05,9.93
240,6.8848,,9.76e-05,10.34
241,6.7953,,9.75e-05,9.72
242,6.7158,,9.75e-05,11.35
243,6.7181,,9.74e-05,11.84
244,6.9355,,9.74e-05,12.34
245,6.9004,,9.74e-05,9.51
246,6.7818,,9.73e-05,9.48
247,6.6667,,9.73e-05,9.7
248,6.9063,,9.73e-05,9.7
249,6.8848,,9.72e-05,9.47
250,6.7077,,9.72e-05,10.49
250,,6.8245,9.72e-05,
251,6.8856,,9.72e-05,15.16
252,6.7702,,9.71e-05,9.87
253,7.0062,,9.71e-05,9.82
254,6.6532,,9.70e-05,10.52
255,7.0233,,9.70e-05,9.58
256,6.9102,,9.70e-05,9.42
257,6.9132,,9.69e-05,9.42
258,6.8773,,9.69e-05,9.54
259,6.85,,9.69e-05,10.0
260,6.7799,,9.68e-05,9.84
261,6.7656,,9.68e-05,10.05
262,6.8224,,9.67e-05,11.17
