step,train_loss,val_loss,lr,sec_per_step
0,,4.6262,0.0,
1,9.3846,,2.00e-07,10.6
2,9.2943,,4.00e-07,10.45
3,9.6388,,6.00e-07,10.51
4,9.3831,,8.00e-07,10.47
5,9.5575,,1.00e-06,10.38
6,9.5388,,1.20e-06,10.47
7,9.2803,,1.40e-06,10.5
8,9.473,,1.60e-06,10.36
9,9.3524,,1.80e-06,10.34
10,9.5393,,2.00e-06,10.39
11,9.3867,,2.20e-06,10.89
12,9.4774,,2.40e-06,10.4
13,9.3993,,2.60e-06,10.37
14,9.3024,,2.80e-06,10.34
15,9.5468,,3.00e-06,10.41
16,9.3778,,3.20e-06,10.35
17,9.3766,,3.40e-06,10.35
18,9.3516,,3.60e-06,10.36
19,9.4379,,3.80e-06,10.34
20,9.3113,,4.00e-06,10.32
21,9.4137,,4.20e-06,10.39
22,9.3786,,4.40e-06,10.37
23,9.4115,,4.60e-06,10.37
24,9.6415,,4.80e-06,10.38
25,9.3327,,5.00e-06,10.38
26,9.3216,,5.20e-06,10.64
27,9.4654,,5.40e-06,10.23
28,9.3513,,5.60e-06,9.66
29,9.4779,,5.80e-06,11.42
30,9.3687,,6.00e-06,11.75
31,9.2986,,6.20e-06,11.22
32,9.41,,6.40e-06,11.75
33,9.5417,,6.60e-06,11.66
34,9.2476,,6.80e-06,11.55
35,9.1142,,7.00e-06,11.26
36,9.1558,,7.20e-06,11.57
37,9.1728,,7.40e-06,11.23
38,9.2991,,7.60e-06,11.42
39,9.1528,,7.80e-06,11.72
40,9.4143,,8.00e-06,11.33
41,9.1724,,8.20e-06,10.42
42,9.3696,,8.40e-06,10.37
43,9.2022,,8.60e-06,10.34
44,9.2449,,8.80e-06,10.33
45,9.3202,,9.00e-06,10.33
46,9.3096,,9.20e-06,10.36
47,9.0946,,9.40e-06,10.39
48,9.1406,,9.60e-06,10.34
49,9.1688,,9.80e-06,10.39
50,9.3282,,1.00e-05,10.43
51,9.0896,,1.02e-05,10.36
52,9.1102,,1.04e-05,10.4
53,9.0744,,1.06e-05,10.41
54,8.9976,,1.08e-05,10.5
55,9.0055,,1.10e-05,10.37
56,9.0818,,1.12e-05,10.41
57,8.9821,,1.14e-05,10.35
58,9.0207,,1.16e-05,10.38
59,8.9656,,1.18e-05,10.45
60,8.7779,,1.20e-05,10.41
61,8.8415,,1.22e-05,10.33
62,8.8469,,1.24e-05,10.38
63,8.8055,,1.26e-05,10.39
64,8.7682,,1.28e-05,10.4
65,8.6923,,1.30e-05,10.35
66,8.7207,,1.32e-05,10.4
67,8.7338,,1.34e-05,10.34
68,8.6884,,1.36e-05,10.35
69,8.7183,,1.38e-05,10.38
70,8.6058,,1.40e-05,9.96
