step,train_loss,val_loss,lr,sec_per_step
0,,4.5132,0.0,
1,9.9948,,1.00e-07,11.01
2,9.6423,,2.00e-07,9.69
3,9.4424,,3.00e-07,9.74
4,10.2793,,4.00e-07,10.14
5,9.486,,5.00e-07,9.88
6,9.4626,,6.00e-07,9.74
7,9.8701,,7.00e-07,10.03
8,9.532,,8.00e-07,9.85
9,9.3053,,9.00e-07,9.66
10,9.4472,,1.00e-06,9.95
11,9.5168,,1.10e-06,9.77
12,9.4272,,1.20e-06,9.6
13,9.3246,,1.30e-06,9.7
14,9.4744,,1.40e-06,9.67
15,9.696,,1.50e-06,9.72
16,9.386,,1.60e-06,9.87
17,9.4163,,1.70e-06,9.89
18,9.4705,,1.80e-06,9.72
19,9.9526,,1.90e-06,9.68
20,10.1673,,2.00e-06,9.68
21,9.9436,,2.10e-06,9.7
22,10.1512,,2.20e-06,9.83
23,9.8196,,2.30e-06,10.04
24,9.8569,,2.40e-06,10.55
25,9.7044,,2.50e-06,10.4
26,9.3523,,2.60e-06,10.7
27,9.7973,,2.70e-06,10.38
28,9.4463,,2.80e-06,10.77
29,9.5153,,2.90e-06,10.63
30,9.3586,,3.00e-06,10.49
31,9.3972,,3.10e-06,10.52
32,9.5848,,3.20e-06,10.39
33,9.4571,,3.30e-06,10.47
34,9.5045,,3.40e-06,10.77
35,9.4,,3.50e-06,10.52
36,9.68,,3.60e-06,10.5
37,9.809,,3.70e-06,10.63
38,9.6985,,3.80e-06,10.69
39,9.6039,,3.90e-06,10.65
40,9.4027,,4.00e-06,10.52
41,9.2617,,4.10e-06,9.61
42,9.3385,,4.20e-06,9.64
43,9.4647,,4.30e-06,9.6
44,9.3786,,4.40e-06,9.64
45,9.3859,,4.50e-06,9.74
46,9.2664,,4.60e-06,9.92
47,9.443,,4.70e-06,9.73
48,9.2964,,4.80e-06,10.42
49,9.5381,,4.90e-06,9.56
50,9.3036,,5.00e-06,9.57
51,9.5086,,5.10e-06,9.7
52,9.6935,,5.20e-06,9.71
53,9.4875,,5.30e-06,9.66
54,9.333,,5.40e-06,9.72
55,9.4149,,5.50e-06,9.61
56,9.2149,,5.60e-06,9.59
57,9.3719,,5.70e-06,9.8
58,9.3963,,5.80e-06,9.82
59,9.4257,,5.90e-06,9.64
60,9.1873,,6.00e-06,9.62
61,9.3467,,6.10e-06,9.62
62,9.4474,,6.20e-06,9.83
63,9.1904,,6.30e-06,9.77
64,9.3471,,6.40e-06,9.94
65,9.769,,6.50e-06,9.7
66,9.3543,,6.60e-06,9.63
67,9.2967,,6.70e-06,9.89
68,9.5151,,6.80e-06,9.72
69,9.4405,,6.90e-06,9.62
70,9.0552,,7.00e-06,10.61
71,9.1509,,7.10e-06,11.12
72,9.4485,,7.20e-06,10.61
73,9.1849,,7.30e-06,9.79
74,9.3132,,7.40e-06,9.63
75,9.2788,,7.50e-06,9.64
76,9.4049,,7.60e-06,9.9
77,9.5583,,7.70e-06,9.72
78,9.0228,,7.80e-06,9.6
79,9.0988,,7.90e-06,9.66
80,9.1539,,8.00e-06,9.65
81,9.2348,,8.10e-06,9.61
82,9.0576,,8.20e-06,9.86
83,9.1297,,8.30e-06,9.81
84,9.0408,,8.40e-06,9.65
85,8.858,,8.50e-06,9.83
86,8.9853,,8.60e-06,9.81
87,9.0119,,8.70e-06,9.64
88,9.0192,,8.80e-06,9.94
89,8.9736,,8.90e-06,9.76
90,9.015,,9.00e-06,9.55
91,8.9521,,9.10e-06,9.72
92,8.9731,,9.20e-06,9.6
93,8.9207,,9.30e-06,9.6
94,8.7175,,9.40e-06,9.76
95,8.8159,,9.50e-06,9.66
96,8.8556,,9.60e-06,9.63
97,8.7135,,9.70e-06,9.78
98,8.7881,,9.80e-06,9.72
99,8.784,,9.90e-06,9.58
100,8.7018,,1.00e-05,9.76
100,,4.5244,1.00e-05,
101,8.5304,,1.00e-05,10.99
102,8.6602,,1.00e-05,10.28
103,8.7464,,1.00e-05,11.49
104,8.5832,,1.00e-05,11.12
105,8.611,,1.00e-05,10.3
106,8.645,,1.00e-05,9.64
107,8.4516,,1.00e-05,9.58
108,8.5389,,1.00e-05,9.76
109,8.497,,1.00e-05,9.71
110,8.1633,,1.00e-05,9.56
111,8.3946,,1.00e-05,9.54
112,8.5128,,1.00e-05,9.71
113,8.3619,,9.99e-06,9.58
114,8.2379,,9.99e-06,9.59
115,8.3376,,9.99e-06,10.04
116,8.3142,,9.99e-06,9.62
117,8.2683,,9.99e-06,9.54
118,7.9942,,9.99e-06,9.63
119,8.2597,,9.99e-06,9.63
120,8.2383,,9.99e-06,9.69
121,8.0966,,9.99e-06,9.92
122,8.1067,,9.99e-06,9.72
123,8.0576,,9.98e-06,9.55
124,7.8203,,9.98e-06,9.78
125,8.0398,,9.98e-06,9.61
126,8.0741,,9.98e-06,9.6
127,8.0188,,9.98e-06,9.89
128,8.1104,,9.98e-06,9.61
129,7.9732,,9.97e-06,9.59
130,7.8004,,9.97e-06,9.64
131,7.557,,9.97e-06,9.6
132,7.5321,,9.97e-06,9.55
133,7.9047,,9.97e-06,9.87
134,7.41,,9.96e-06,9.71
135,7.8102,,9.96e-06,9.67
136,7.8915,,9.96e-06,9.75
137,7.2929,,9.96e-06,9.69
138,7.7446,,9.96e-06,9.6
139,7.3783,,9.95e-06,9.84
140,7.7955,,9.95e-06,9.7
141,7.8453,,9.95e-06,9.53
142,7.7348,,9.95e-06,9.59
143,7.2505,,9.94e-06,9.79
144,7.2658,,9.94e-06,9.58
145,7.55,,9.94e-06,9.59
146,7.6553,,9.94e-06,9.87
147,7.0546,,9.93e-06,9.57
148,7.6269,,9.93e-06,9.61
149,7.1454,,9.93e-06,9.71
150,7.6921,,9.92e-06,9.6
151,7.649,,9.92e-06,9.59
152,7.1151,,9.92e-06,9.85
153,7.6948,,9.91e-06,9.63
154,7.5238,,9.91e-06,9.96
155,6.9898,,9.91e-06,10.46
156,7.6666,,9.90e-06,10.36
157,7.5719,,9.90e-06,10.33
158,7.4571,,9.90e-06,10.67
159,7.67,,9.89e-06,10.29
160,6.7857,,9.89e-06,10.29
161,7.6276,,9.89e-06,10.44
162,7.4568,,9.88e-06,10.42
163,6.8785,,9.88e-06,10.44
164,6.698,,9.88e-06,10.69
165,7.648,,9.87e-06,10.34
166,6.7727,,9.87e-06,10.42
167,6.7921,,9.86e-06,10.38
168,7.6052,,9.86e-06,10.29
169,7.5062,,9.86e-06,10.78
170,7.597,,9.85e-06,10.57
171,7.6728,,9.85e-06,10.5
172,6.6459,,9.84e-06,10.45
173,6.6471,,9.84e-06,10.39
174,7.3526,,9.83e-06,10.26
175,7.5833,,9.83e-06,9.88
176,7.5919,,9.83e-06,9.69
177,7.6192,,9.82e-06,9.6
178,6.6565,,9.82e-06,9.66
179,7.4108,,9.81e-06,9.69
180,7.5789,,9.81e-06,9.57
181,7.6656,,9.80e-06,9.82
182,7.5932,,9.80e-06,9.72
183,7.4693,,9.79e-06,9.6
184,6.6869,,9.79e-06,9.72
185,7.5756,,9.78e-06,9.65
186,7.5921,,9.78e-06,9.67
187,7.5633,,9.77e-06,9.76
188,7.5612,,9.77e-06,9.72
189,7.4764,,9.76e-06,9.61
190,7.4999,,9.76e-06,9.55
191,7.388,,9.75e-06,9.69
192,6.6224,,9.74e-06,9.67
193,7.3711,,9.74e-06,9.59
194,7.3766,,9.73e-06,9.88
195,7.4398,,9.73e-06,9.68
196,7.4809,,9.72e-06,9.82
197,7.4162,,9.72e-06,9.7
198,7.5101,,9.71e-06,9.6
199,7.4184,,9.70e-06,9.69
200,7.4832,,9.70e-06,9.85
201,6.6795,,9.69e-06,9.63
202,6.675,,9.69e-06,9.6
203,7.3874,,9.68e-06,9.63
204,6.6227,,9.67e-06,9.58
205,7.3655,,9.67e-06,9.59
206,7.395,,9.66e-06,9.81
207,7.4666,,9.66e-06,9.69
208,7.3855,,9.65e-06,9.56
209,7.4058,,9.64e-06,9.64
210,7.3326,,9.64e-06,9.58
211,7.3979,,9.63e-06,9.58
212,7.4249,,9.62e-06,9.76
213,7.4388,,9.62e-06,9.86
214,7.4422,,9.61e-06,9.59
215,6.6758,,9.60e-06,9.76
216,7.2922,,9.60e-06,9.66
217,7.5114,,9.59e-06,9.67
218,7.5004,,9.58e-06,9.9
219,7.3843,,9.57e-06,10.02
220,7.4206,,9.57e-06,9.74
221,6.652,,9.56e-06,9.7
222,7.3099,,9.55e-06,9.78
223,7.3903,,9.55e-06,9.82
224,7.4888,,9.54e-06,9.98
225,7.3653,,9.53e-06,10.75
226,7.4276,,9.52e-06,11.18
227,7.5239,,9.52e-06,10.85
228,7.4053,,9.51e-06,9.69
229,7.2598,,9.50e-06,9.66
230,7.2856,,9.49e-06,9.82
231,7.3764,,9.49e-06,9.79
232,7.4335,,9.48e-06,9.74
233,7.4781,,9.47e-06,9.88
234,7.466,,9.46e-06,9.82
235,7.4891,,9.46e-06,9.68
236,7.423,,9.45e-06,9.77
237,6.7752,,9.44e-06,9.78
238,7.4216,,9.43e-06,9.72
239,6.6511,,9.42e-06,9.61
240,7.4762,,9.41e-06,9.72
241,6.8044,,9.41e-06,9.8
242,7.3522,,9.40e-06,9.7
243,6.0382,,9.39e-06,9.97
244,6.6536,,9.38e-06,9.74
245,7.4026,,9.37e-06,9.6
246,7.4454,,9.36e-06,9.83
247,7.2602,,9.36e-06,9.7
248,7.4714,,9.35e-06,9.62
249,7.4529,,9.34e-06,9.91
250,7.47,,9.33e-06,9.71
250,,7.2298,9.33e-06,
