step,train_loss,val_loss,lr,sec_per_step
0,,4.5132,0.0,
1,9.9948,,1.00e-07,10.97
2,9.6423,,2.00e-07,9.9
3,9.4424,,3.00e-07,10.0
4,10.2793,,4.00e-07,10.03
5,9.486,,5.00e-07,9.86
6,9.4626,,6.00e-07,9.97
7,9.8701,,7.00e-07,9.84
8,9.532,,8.00e-07,9.8
9,9.3053,,9.00e-07,9.89
10,9.4472,,1.00e-06,9.86
11,9.5168,,1.10e-06,9.9
12,9.4272,,1.20e-06,9.87
13,9.3246,,1.30e-06,9.94
14,9.4744,,1.40e-06,10.05
15,9.696,,1.50e-06,9.86
16,9.386,,1.60e-06,10.16
17,9.4163,,1.70e-06,10.13
18,9.4705,,1.80e-06,9.97
19,9.9526,,1.90e-06,9.66
20,10.1673,,2.00e-06,9.82
21,9.9436,,2.10e-06,9.7
22,10.1512,,2.20e-06,9.72
23,9.8196,,2.30e-06,9.91
24,9.8569,,2.40e-06,9.83
25,9.7044,,2.50e-06,9.68
26,9.3523,,2.60e-06,9.73
27,9.7973,,2.70e-06,9.68
28,9.4463,,2.80e-06,9.67
29,9.5153,,2.90e-06,10.05
30,9.3586,,3.00e-06,9.97
31,9.3972,,3.10e-06,9.71
32,9.5848,,3.20e-06,9.73
33,9.4571,,3.30e-06,9.66
34,9.5045,,3.40e-06,9.67
35,9.4,,3.50e-06,9.94
36,9.68,,3.60e-06,9.87
37,9.809,,3.70e-06,9.63
38,9.6985,,3.80e-06,9.76
39,9.6039,,3.90e-06,9.77
40,9.4027,,4.00e-06,9.72
41,9.2617,,4.10e-06,9.94
42,9.3385,,4.20e-06,9.85
43,9.4647,,4.30e-06,9.72
44,9.3786,,4.40e-06,9.65
45,9.3859,,4.50e-06,9.77
46,9.2664,,4.60e-06,9.66
47,9.443,,4.70e-06,9.68
48,9.2964,,4.80e-06,9.98
49,9.5381,,4.90e-06,9.64
50,9.3036,,5.00e-06,9.61
