step,train_loss,val_loss,lr,sec_per_step
0,,4.5132,0.0,
1,3.0187,,1.00e-06,10.42
2,4.1525,,2.00e-06,10.26
3,4.5221,,3.00e-06,10.38
4,2.3966,,4.00e-06,10.31
5,4.0372,,5.00e-06,9.97
6,4.3606,,6.00e-06,10.29
7,3.4549,,7.00e-06,9.7
8,4.4477,,8.00e-06,9.13
9,4.5634,,9.00e-06,9.21
10,3.958,,1.00e-05,9.08
11,4.2819,,1.10e-05,9.52
12,4.4266,,1.20e-05,10.14
13,4.4786,,1.30e-05,9.28
14,4.5703,,1.40e-05,9.07
15,3.5598,,1.50e-05,9.18
16,4.5543,,1.60e-05,9.16
17,4.4603,,1.70e-05,9.12
18,4.4119,,1.80e-05,9.12
19,3.2929,,1.90e-05,9.14
20,2.9382,,2.00e-05,9.04
21,3.2583,,2.10e-05,8.98
22,2.4262,,2.20e-05,9.22
23,3.4942,,2.30e-05,9.09
24,2.9152,,2.40e-05,8.99
25,3.7504,,2.50e-05,8.99
26,4.4253,,2.60e-05,8.9
27,3.2762,,2.70e-05,9.02
28,4.4315,,2.80e-05,9.11
29,4.3712,,2.90e-05,9.22
30,4.4097,,3.00e-05,9.17
31,4.4023,,3.10e-05,9.01
32,4.147,,3.20e-05,9.03
33,4.3984,,3.30e-05,8.96
34,4.2062,,3.40e-05,9.01
35,4.2018,,3.50e-05,9.21
36,3.5706,,3.60e-05,9.16
37,3.602,,3.70e-05,9.04
38,3.4201,,3.80e-05,9.05
39,4.0644,,3.90e-05,8.96
40,4.8321,,4.00e-05,9.0
41,4.7213,,4.10e-05,9.05
42,4.5511,,4.20e-05,9.59
43,4.2814,,4.30e-05,9.43
44,4.4774,,4.40e-05,9.52
45,4.3338,,4.50e-05,9.53
46,4.3576,,4.60e-05,9.41
47,4.2737,,4.70e-05,9.45
48,4.4896,,4.80e-05,9.65
49,4.1499,,4.90e-05,9.55
50,4.7061,,5.00e-05,9.43
51,3.2864,,5.10e-05,9.44
52,3.4421,,5.20e-05,9.46
53,4.0482,,5.30e-05,9.5
54,4.5183,,5.40e-05,9.47
55,4.442,,5.50e-05,9.5
56,4.6568,,5.60e-05,9.32
57,4.2734,,5.70e-05,9.24
58,4.1744,,5.80e-05,9.12
59,4.2315,,5.90e-05,8.98
60,4.2643,,6.00e-05,8.93
61,4.2613,,6.10e-05,9.19
62,3.5843,,6.20e-05,9.11
63,4.1804,,6.30e-05,9.01
64,3.7288,,6.40e-05,9.1
65,2.773,,6.50e-05,8.99
66,3.9193,,6.60e-05,8.98
67,4.4672,,6.70e-05,9.12
68,3.2913,,6.80e-05,9.24
69,3.4794,,6.90e-05,9.11
70,4.5642,,7.00e-05,9.07
71,4.283,,7.10e-05,8.95
72,3.114,,7.20e-05,8.95
73,4.4757,,7.30e-05,8.95
74,4.0755,,7.40e-05,9.18
75,4.274,,7.50e-05,9.14
76,3.2387,,7.60e-05,9.03
77,2.3395,,7.70e-05,9.11
78,4.2802,,7.80e-05,9.19
79,4.9207,,7.90e-05,9.09
80,4.0968,,8.00e-05,9.02
81,3.2594,,8.10e-05,9.28
82,4.3418,,8.20e-05,9.16
83,4.2828,,8.30e-05,9.16
84,4.3035,,8.40e-05,9.16
85,4.7392,,8.50e-05,9.06
86,4.0077,,8.60e-05,8.99
87,4.3798,,8.70e-05,9.16
88,4.1689,,8.80e-05,9.17
89,3.1837,,8.90e-05,9.02
90,3.4274,,9.00e-05,9.06
91,3.4587,,9.10e-05,8.98
92,4.0314,,9.20e-05,9.0
93,4.0377,,9.30e-05,9.01
94,4.6921,,9.40e-05,9.25
95,3.3401,,9.50e-05,9.17
96,3.8833,,9.60e-05,9.05
97,3.5387,,9.70e-05,9.06
98,4.5262,,9.80e-05,8.94
99,4.5933,,9.90e-05,8.97
100,4.3318,,1.00e-04,9.01
100,,4.4995,1.00e-04,
101,3.3624,,1.00e-04,10.21
102,4.1606,,1.00e-04,9.17
103,4.0338,,1.00e-04,9.26
104,4.0724,,1.00e-04,9.16
105,4.4721,,1.00e-04,9.03
106,4.0954,,1.00e-04,8.99
107,4.3063,,1.00e-04,8.94
108,3.95,,1.00e-04,9.1
109,3.8796,,1.00e-04,9.14
110,1.8207,,1.00e-04,9.22
111,4.2917,,1.00e-04,9.07
112,4.4044,,1.00e-04,8.99
113,4.108,,9.99e-05,9.01
114,3.8857,,9.99e-05,9.01
115,3.6957,,9.99e-05,9.03
116,4.5808,,9.99e-05,9.23
117,4.3457,,9.99e-05,9.18
118,3.2921,,9.99e-05,9.11
119,4.4003,,9.99e-05,9.03
120,3.6277,,9.99e-05,9.11
121,4.2229,,9.99e-05,9.04
122,4.4278,,9.99e-05,9.0
123,3.8336,,9.98e-05,9.27
124,3.4979,,9.98e-05,9.12
125,4.2085,,9.98e-05,9.08
126,4.3295,,9.98e-05,9.13
127,4.2024,,9.98e-05,9.03
128,4.4409,,9.98e-05,9.19
129,4.2036,,9.97e-05,9.56
130,3.6936,,9.97e-05,10.31
131,3.4231,,9.97e-05,10.39
132,3.499,,9.97e-05,9.34
133,4.6718,,9.97e-05,9.06
134,2.8181,,9.96e-05,9.12
135,3.6172,,9.96e-05,9.09
136,4.1999,,9.96e-05,9.33
137,2.8304,,9.96e-05,9.13
138,4.1742,,9.96e-05,9.07
139,3.1496,,9.95e-05,9.07
140,4.7761,,9.95e-05,9.43
141,4.4341,,9.95e-05,9.23
142,4.1316,,9.95e-05,9.35
143,3.0719,,9.94e-05,9.24
144,3.4271,,9.94e-05,9.25
145,4.47,,9.94e-05,9.27
146,4.6412,,9.94e-05,9.1
147,2.9184,,9.93e-05,9.07
148,3.6578,,9.93e-05,9.12
149,2.8752,,9.93e-05,9.25
150,4.2814,,9.92e-05,9.04
151,4.2432,,9.92e-05,9.12
152,3.4243,,9.92e-05,9.09
153,4.2758,,9.91e-05,8.97
154,4.4214,,9.91e-05,9.01
155,3.1264,,9.91e-05,9.19
156,4.1037,,9.90e-05,9.25
157,3.8774,,9.90e-05,9.11
158,3.7473,,9.90e-05,9.15
159,4.3316,,9.89e-05,9.09
160,2.8821,,9.89e-05,9.1
161,4.213,,9.89e-05,9.07
162,4.1208,,9.88e-05,9.31
163,3.2937,,9.88e-05,9.19
164,3.4427,,9.88e-05,9.11
165,3.9448,,9.87e-05,9.33
166,2.8123,,9.87e-05,9.03
167,3.4898,,9.86e-05,9.05
168,4.429,,9.86e-05,9.26
169,4.292,,9.86e-05,9.21
170,4.2122,,9.85e-05,9.08
171,4.5694,,9.85e-05,9.12
172,3.3534,,9.84e-05,9.08
173,3.1145,,9.84e-05,9.08
174,3.3002,,9.83e-05,9.23
175,4.1772,,9.83e-05,9.35
176,4.1813,,9.83e-05,9.84
177,4.6714,,9.82e-05,9.13
178,2.8256,,9.82e-05,9.16
179,3.293,,9.81e-05,8.99
180,4.2691,,9.81e-05,9.05
181,4.4826,,9.80e-05,9.17
182,4.4662,,9.80e-05,9.2
183,3.7883,,9.79e-05,9.37
184,3.0419,,9.79e-05,9.13
185,4.0652,,9.78e-05,9.32
186,3.8849,,9.78e-05,9.22
187,4.211,,9.77e-05,9.17
188,4.0777,,9.77e-05,9.44
189,4.4685,,9.76e-05,9.18
190,4.5065,,9.76e-05,9.07
191,3.7536,,9.75e-05,9.26
192,3.0012,,9.74e-05,9.14
193,4.1705,,9.74e-05,9.04
194,4.5812,,9.73e-05,9.22
195,4.404,,9.73e-05,9.22
196,4.2305,,9.72e-05,9.08
197,4.1792,,9.72e-05,9.07
198,4.3095,,9.71e-05,9.15
199,4.1238,,9.70e-05,9.04
200,4.3007,,9.70e-05,9.0
201,3.1584,,9.69e-05,9.25
202,3.2419,,9.69e-05,9.16
203,3.8429,,9.68e-05,9.1
204,2.9049,,9.67e-05,9.31
205,3.9711,,9.67e-05,9.05
206,4.1997,,9.66e-05,9.03
207,4.4656,,9.66e-05,9.17
208,4.4707,,9.65e-05,9.31
209,4.003,,9.64e-05,9.08
210,4.27,,9.64e-05,9.09
211,3.8909,,9.63e-05,9.31
212,4.0683,,9.62e-05,9.16
213,4.3106,,9.62e-05,9.23
214,4.2215,,9.61e-05,9.23
215,2.8537,,9.60e-05,9.05
216,3.8182,,9.60e-05,9.08
217,4.5189,,9.59e-05,9.03
218,4.3578,,9.58e-05,9.24
219,4.2348,,9.57e-05,9.14
220,3.9779,,9.57e-05,9.22
221,3.1294,,9.56e-05,9.28
222,4.3425,,9.55e-05,9.1
223,4.3858,,9.55e-05,9.09
224,4.651,,9.54e-05,9.15
225,4.2778,,9.53e-05,9.04
226,3.8864,,9.52e-05,9.01
227,4.4973,,9.52e-05,9.14
228,4.4543,,9.51e-05,9.14
229,3.8732,,9.50e-05,9.0
230,4.5208,,9.49e-05,9.07
231,4.3482,,9.49e-05,9.51
232,4.4457,,9.48e-05,9.12
233,4.2129,,9.47e-05,9.14
234,4.5251,,9.46e-05,9.34
235,4.149,,9.46e-05,9.07
236,4.1775,,9.45e-05,9.15
237,3.5289,,9.44e-05,9.23
238,3.7981,,9.43e-05,9.18
239,3.4323,,9.42e-05,9.18
240,4.2618,,9.41e-05,9.28
241,3.3433,,9.41e-05,9.19
242,3.627,,9.40e-05,9.14
243,2.1018,,9.39e-05,9.01
244,3.5048,,9.38e-05,9.08
245,4.383,,9.37e-05,9.03
246,4.2215,,9.36e-05,9.08
247,4.3044,,9.36e-05,9.29
248,4.2259,,9.35e-05,9.07
249,3.7247,,9.34e-05,9.0
250,4.4914,,9.33e-05,9.11
250,,4.4875,9.33e-05,
251,4.0013,,9.32e-05,11.83
252,4.3222,,9.31e-05,10.92
253,3.9226,,9.30e-05,9.12
254,4.4072,,9.29e-05,8.77
255,2.8546,,9.29e-05,9.1
256,4.0463,,9.28e-05,8.85
257,4.229,,9.27e-05,8.84
258,4.1931,,9.26e-05,9.4
259,4.2645,,9.25e-05,8.82
260,4.1992,,9.24e-05,8.78
261,3.4808,,9.23e-05,9.02
262,4.2587,,9.22e-05,8.91
263,4.1617,,9.21e-05,8.93
264,4.588,,9.20e-05,8.97
265,3.0894,,9.19e-05,9.11
266,4.5847,,9.18e-05,8.92
267,4.667,,9.17e-05,8.9
268,4.0793,,9.16e-05,8.92
269,3.2729,,9.15e-05,8.79
270,3.6188,,9.15e-05,8.94
271,2.615,,9.14e-05,8.92
272,3.7517,,9.13e-05,8.97
273,3.4615,,9.12e-05,8.84
274,3.8126,,9.11e-05,9.16
275,3.4301,,9.10e-05,8.95
276,4.0351,,9.09e-05,8.85
277,4.2157,,9.08e-05,8.88
278,4.53,,9.07e-05,8.94
279,3.9638,,9.06e-05,8.91
280,4.3016,,9.05e-05,8.96
281,3.2601,,9.03e-05,8.83
282,3.9616,,9.02e-05,8.91
283,4.6709,,9.01e-05,8.89
284,3.2463,,9.00e-05,8.86
285,3.9481,,8.99e-05,8.94
286,2.9776,,8.98e-05,8.8
287,2.983,,8.97e-05,8.71
288,4.2389,,8.96e-05,8.79
289,4.2939,,8.95e-05,8.73
290,3.2769,,8.94e-05,8.65
291,3.973,,8.93e-05,8.74
292,4.1112,,8.92e-05,8.92
293,4.1229,,8.91e-05,8.7
294,4.0975,,8.90e-05,8.75
295,3.7761,,8.89e-05,8.86
296,4.2159,,8.87e-05,8.71
297,4.4738,,8.86e-05,8.82
298,4.6653,,8.85e-05,8.77
299,4.2235,,8.84e-05,8.98
300,3.9941,,8.83e-05,8.82
301,3.8607,,8.82e-05,8.85
302,4.183,,8.81e-05,8.9
303,4.2189,,8.80e-05,8.76
304,4.1153,,8.78e-05,8.72
305,4.0082,,8.77e-05,8.85
306,3.1492,,8.76e-05,8.99
307,4.0743,,8.75e-05,8.86
308,1.7528,,8.74e-05,8.71
309,4.1784,,8.73e-05,8.93
310,2.775,,8.72e-05,8.79
311,3.9889,,8.70e-05,8.77
312,3.9178,,8.69e-05,8.99
313,2.9878,,8.68e-05,8.97
314,4.1942,,8.67e-05,8.75
315,4.1911,,8.66e-05,8.71
316,3.812,,8.64e-05,8.78
317,3.2795,,8.63e-05,8.97
318,4.3503,,8.62e-05,8.75
319,3.8798,,8.61e-05,9.68
320,4.207,,8.60e-05,10.1
321,4.4724,,8.58e-05,9.97
322,4.2716,,8.57e-05,9.54
323,3.3493,,8.56e-05,8.95
324,4.1116,,8.55e-05,8.84
325,3.8751,,8.54e-05,9.04
326,4.2762,,8.52e-05,9.0
327,2.8732,,8.51e-05,8.72
328,4.2028,,8.50e-05,8.75
329,3.91,,8.49e-05,8.92
330,3.5367,,8.47e-05,8.77
331,3.192,,8.46e-05,8.76
332,3.1802,,8.45e-05,8.93
333,4.2572,,8.44e-05,8.86
334,4.5283,,8.42e-05,8.73
335,3.4798,,8.41e-05,8.76
336,2.2468,,8.40e-05,8.84
337,4.5632,,8.38e-05,8.78
338,4.1604,,8.37e-05,8.75
339,3.9868,,8.36e-05,8.96
340,2.3229,,8.35e-05,8.91
341,2.937,,8.33e-05,8.72
342,4.3652,,8.32e-05,8.77
343,4.3625,,8.31e-05,8.72
344,3.1353,,8.29e-05,8.79
345,4.2562,,8.28e-05,8.76
346,3.0063,,8.27e-05,9.06
347,4.2672,,8.25e-05,8.91
348,2.9335,,8.24e-05,8.74
349,3.1209,,8.23e-05,8.86
350,4.3359,,8.21e-05,8.87
351,4.4296,,8.20e-05,8.93
352,3.6759,,8.19e-05,8.94
353,2.8111,,8.17e-05,8.92
354,3.0338,,8.16e-05,8.78
355,3.3443,,8.15e-05,8.83
356,2.4184,,8.13e-05,8.89
357,4.1123,,8.12e-05,8.77
358,3.6024,,8.11e-05,8.72
359,3.677,,8.09e-05,8.91
360,3.2492,,8.08e-05,8.83
361,2.3008,,8.06e-05,8.84
362,4.4603,,8.05e-05,8.82
363,2.7705,,8.04e-05,8.96
364,4.4785,,8.02e-05,8.81
365,3.9409,,8.01e-05,8.77
366,4.0992,,8.00e-05,9.25
367,4.3073,,7.98e-05,8.82
368,3.3526,,7.97e-05,8.76
369,2.4443,,7.95e-05,8.94
370,3.1112,,7.94e-05,8.73
371,4.2764,,7.92e-05,8.68
372,2.1736,,7.91e-05,8.66
373,2.7819,,7.90e-05,9.04
374,3.7348,,7.88e-05,9.03
375,4.6382,,7.87e-05,8.77
376,4.1852,,7.85e-05,8.83
377,3.7966,,7.84e-05,8.84
378,3.9828,,7.82e-05,8.96
379,2.793,,7.81e-05,9.09
380,3.7918,,7.80e-05,8.98
381,4.3638,,7.78e-05,9.15
382,2.3821,,7.77e-05,8.87
383,3.5775,,7.75e-05,8.88
384,4.0671,,7.74e-05,8.74
385,3.2367,,7.72e-05,8.68
386,4.2655,,7.71e-05,8.93
387,4.3301,,7.69e-05,8.83
388,3.6271,,7.68e-05,8.71
389,4.0041,,7.66e-05,8.7
390,4.2889,,7.65e-05,8.78
391,4.2146,,7.63e-05,8.73
392,4.4672,,7.62e-05,8.78
393,3.3797,,7.61e-05,9.11
394,4.3257,,7.59e-05,8.87
395,4.2762,,7.58e-05,8.75
396,4.2626,,7.56e-05,8.86
397,3.1123,,7.55e-05,8.9
398,2.7594,,7.53e-05,8.78
399,3.149,,7.52e-05,8.71
400,2.312,,7.50e-05,8.9
401,3.3327,,7.48e-05,8.78
402,2.6804,,7.47e-05,8.69
403,3.3289,,7.45e-05,8.78
404,4.0638,,7.44e-05,8.85
405,3.1592,,7.42e-05,8.7
406,4.1476,,7.41e-05,8.79
407,4.1361,,7.39e-05,8.95
408,4.1247,,7.38e-05,8.79
409,4.3138,,7.36e-05,8.7
410,3.9279,,7.35e-05,8.83
411,4.0754,,7.33e-05,8.8
412,3.9423,,7.32e-05,8.75
413,4.0624,,7.30e-05,8.81
414,3.4776,,7.29e-05,8.94
415,3.5502,,7.27e-05,8.77
416,3.3096,,7.25e-05,8.7
417,3.7611,,7.24e-05,8.84
418,4.7562,,7.22e-05,8.75
419,4.4528,,7.21e-05,8.8
420,4.2321,,7.19e-05,8.81
421,4.147,,7.18e-05,8.79
422,4.3326,,7.16e-05,8.75
423,4.07,,7.14e-05,8.75
424,3.9877,,7.13e-05,8.87
425,3.9835,,7.11e-05,8.81
426,4.3609,,7.10e-05,8.84
427,3.9877,,7.08e-05,9.02
428,4.5998,,7.07e-05,9.03
429,3.0976,,7.05e-05,8.83
430,3.398,,7.03e-05,8.71
431,3.8925,,7.02e-05,8.84
432,4.2982,,7.00e-05,9.1
433,4.347,,6.99e-05,8.69
434,4.4747,,6.97e-05,8.97
435,4.0441,,6.95e-05,8.73
436,4.0312,,6.94e-05,8.71
437,4.0339,,6.92e-05,8.79
438,4.0909,,6.91e-05,8.78
439,4.0424,,6.89e-05,8.91
440,3.2324,,6.87e-05,8.92
441,3.9794,,6.86e-05,9.15
442,3.4915,,6.84e-05,8.97
443,2.5099,,6.82e-05,8.87
444,3.7154,,6.81e-05,8.93
445,4.3952,,6.79e-05,8.93
446,3.1714,,6.78e-05,9.07
447,3.3756,,6.76e-05,8.9
448,4.3479,,6.74e-05,8.89
449,3.9874,,6.73e-05,8.87
450,2.8797,,6.71e-05,8.7
451,4.3284,,6.69e-05,8.82
452,3.8682,,6.68e-05,8.77
453,4.072,,6.66e-05,8.86
454,2.9233,,6.64e-05,8.91
455,2.2548,,6.63e-05,8.74
456,4.0912,,6.61e-05,8.75
457,4.7796,,6.59e-05,8.69
458,3.6693,,6.58e-05,8.97
459,3.1676,,6.56e-05,8.98
460,4.087,,6.55e-05,8.81
461,4.191,,6.53e-05,8.99
462,4.1879,,6.51e-05,8.83
463,4.5321,,6.50e-05,8.79
464,3.8147,,6.48e-05,9.03
465,4.2745,,6.46e-05,8.72
466,3.903,,6.45e-05,8.69
467,2.9344,,6.43e-05,8.69
468,3.3051,,6.41e-05,9.09
469,3.3984,,6.39e-05,8.72
470,3.5914,,6.38e-05,8.71
471,3.7899,,6.36e-05,8.82
472,4.4916,,6.34e-05,8.84
473,3.2355,,6.33e-05,8.87
474,3.5857,,6.31e-05,8.79
475,3.3811,,6.29e-05,8.98
476,4.2909,,6.28e-05,8.73
477,4.3968,,6.26e-05,8.75
478,4.0752,,6.24e-05,8.88
479,3.2595,,6.23e-05,8.71
480,3.8545,,6.21e-05,8.74
481,3.7593,,6.19e-05,8.82
482,3.7804,,6.18e-05,8.81
483,4.2262,,6.16e-05,8.96
484,3.9756,,6.14e-05,8.71
485,4.057,,6.12e-05,8.88
486,3.6731,,6.11e-05,8.75
487,3.4867,,6.09e-05,8.77
488,1.6394,,6.07e-05,8.99
489,4.0742,,6.06e-05,8.86
490,4.187,,6.04e-05,8.8
491,4.0106,,6.02e-05,8.82
492,3.6824,,6.01e-05,8.9
493,3.5948,,5.99e-05,8.75
494,4.457,,5.97e-05,8.78
495,4.1257,,5.95e-05,8.92
496,3.2068,,5.94e-05,8.8
497,4.2485,,5.92e-05,8.74
498,3.2576,,5.90e-05,9.04
499,4.0371,,5.89e-05,8.86
500,4.2406,,5.87e-05,8.7
500,,4.4785,5.87e-05,
501,3.3644,,5.85e-05,9.84
502,3.4141,,5.83e-05,9.8
503,4.0875,,5.82e-05,9.0
504,4.2444,,5.80e-05,8.76
505,3.9636,,5.78e-05,8.84
506,4.226,,5.76e-05,8.74
507,3.9055,,5.75e-05,8.84
508,3.4786,,5.73e-05,9.04
509,3.3214,,5.71e-05,9.17
510,3.4366,,5.70e-05,10.18
511,4.7166,,5.68e-05,9.68
512,2.7373,,5.66e-05,9.42
513,3.2918,,5.64e-05,8.93
514,3.9467,,5.63e-05,8.8
515,2.6139,,5.61e-05,8.77
516,3.9236,,5.59e-05,9.02
517,2.901,,5.57e-05,8.71
518,4.6256,,5.56e-05,8.77
519,4.2062,,5.54e-05,8.88
520,3.7137,,5.52e-05,8.79
521,2.8761,,5.51e-05,8.8
522,3.3737,,5.49e-05,8.77
523,4.2943,,5.47e-05,8.92
524,4.4688,,5.45e-05,8.68
525,2.7042,,5.44e-05,8.98
526,3.3381,,5.42e-05,8.96
527,2.5565,,5.40e-05,8.8
528,4.1497,,5.38e-05,8.85
529,3.9875,,5.37e-05,8.97
530,3.3466,,5.35e-05,9.0
531,4.0475,,5.33e-05,8.85
532,4.3689,,5.31e-05,8.81
533,2.8992,,5.30e-05,8.81
534,3.9686,,5.28e-05,8.75
535,3.6692,,5.26e-05,8.81
536,3.5654,,5.24e-05,9.02
537,3.9938,,5.23e-05,8.78
538,2.6528,,5.21e-05,8.85
539,3.9672,,5.19e-05,8.77
540,4.0429,,5.17e-05,8.89
541,3.1307,,5.16e-05,8.78
542,3.3521,,5.14e-05,8.83
543,3.6056,,5.12e-05,9.18
544,2.6339,,5.10e-05,8.89
