step,train_loss,val_loss,lr,sec_per_step
1,9.9948,,1.00e-06,11.83
2,9.6423,,2.00e-06,11.1
3,9.4418,,3.00e-06,11.18
4,10.2745,,4.00e-06,11.11
5,9.4822,,5.00e-06,11.13
6,9.9746,,6.00e-06,11.23
7,9.6476,,7.00e-06,11.08
8,9.4215,,8.00e-06,11.17
9,10.1311,,9.00e-06,11.14
10,9.4567,,1.00e-05,11.05
11,9.8612,,1.10e-05,11.14
12,9.6622,,1.20e-05,11.14
13,9.4421,,1.30e-05,11.19
14,10.0414,,1.40e-05,11.05
15,9.4304,,1.50e-05,11.3
16,9.8348,,1.60e-05,11.03
17,9.5872,,1.70e-05,11.26
18,9.3119,,1.80e-05,11.4
19,9.952,,1.90e-05,11.8
20,9.3259,,2.00e-05,11.76
21,9.7474,,2.10e-05,11.84
22,9.4635,,2.20e-05,11.81
23,9.3138,,2.30e-05,11.78
24,9.7147,,2.40e-05,11.98
25,9.2446,,2.50e-05,12.13
26,9.4954,,2.60e-05,12.12
27,9.2921,,2.70e-05,12.6
28,9.132,,2.80e-05,11.6
29,9.1984,,2.90e-05,11.67
30,9.0032,,3.00e-05,11.36
31,9.091,,3.10e-05,11.05
32,9.0176,,3.20e-05,11.26
33,8.9659,,3.30e-05,11.04
34,8.7084,,3.40e-05,11.26
35,8.7453,,3.50e-05,11.1
36,8.5115,,3.60e-05,11.06
37,8.6073,,3.70e-05,11.21
38,8.5463,,3.80e-05,11.21
39,7.8041,,3.90e-05,11.17
40,8.375,,4.00e-05,11.19
41,7.8541,,4.10e-05,11.22
42,8.194,,4.20e-05,11.09
43,8.217,,4.30e-05,11.09
44,6.9601,,4.40e-05,11.18
45,8.0162,,4.50e-05,11.16
46,7.2217,,4.60e-05,11.11
47,7.7856,,4.70e-05,11.21
48,7.9693,,4.80e-05,11.19
49,6.1565,,4.90e-05,11.03
50,7.7607,,5.00e-05,11.36
