step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
0,,4.4305,0.0,,13.32
1,3.9836,,5.00e-07,14.68,17.27
2,4.9248,,1.00e-06,15.05,17.34
3,3.9892,,1.50e-06,14.95,17.34
4,4.0409,,2.00e-06,15.45,17.34
5,4.7669,,2.50e-06,15.87,17.35
6,4.1805,,3.00e-06,16.14,17.35
7,4.6078,,3.50e-06,16.05,17.36
8,4.0866,,4.00e-06,16.12,17.37
9,4.3519,,4.50e-06,16.24,17.37
10,4.7068,,5.00e-06,16.08,17.38
11,4.0865,,5.50e-06,16.12,17.39
12,3.8836,,6.00e-06,16.18,17.39
13,4.4196,,6.50e-06,16.28,17.41
14,4.2204,,7.00e-06,16.16,17.41
15,4.4913,,7.50e-06,16.15,17.41
16,3.5163,,8.00e-06,16.37,17.41
17,4.4852,,8.50e-06,16.39,17.41
18,4.4843,,9.00e-06,16.4,17.41
19,4.4073,,9.50e-06,16.31,17.41
20,4.3528,,1.00e-05,16.34,17.41
21,4.1459,,1.05e-05,16.46,17.41
22,4.2602,,1.10e-05,16.3,17.42
23,4.3102,,1.15e-05,16.22,17.42
24,4.2727,,1.20e-05,16.38,17.43
25,4.1972,,1.25e-05,16.34,17.43
26,3.9333,,1.30e-05,16.5,17.43
27,3.9828,,1.35e-05,16.6,17.43
28,4.5433,,1.40e-05,16.54,17.43
29,4.1755,,1.45e-05,16.58,17.43
30,4.3594,,1.50e-05,16.47,17.43
31,3.9359,,1.55e-05,16.47,17.43
32,4.302,,1.60e-05,16.75,17.43
33,4.2468,,1.65e-05,16.56,17.43
34,4.1264,,1.70e-05,16.79,17.43
35,4.1367,,1.75e-05,16.79,17.44
36,4.2464,,1.80e-05,16.69,17.44
37,4.3507,,1.85e-05,16.55,17.44
38,4.1557,,1.90e-05,16.63,17.44
39,4.6738,,1.95e-05,16.53,17.44
40,4.5556,,2.00e-05,16.49,17.44
41,4.185,,2.05e-05,16.47,17.44
42,4.2309,,2.10e-05,16.45,17.44
43,3.6159,,2.15e-05,16.41,17.44
44,4.5765,,2.20e-05,16.41,17.44
45,4.533,,2.25e-05,16.44,17.45
46,3.4744,,2.30e-05,16.4,17.45
47,4.2484,,2.35e-05,16.34,17.45
48,3.7638,,2.40e-05,16.39,17.45
49,4.4511,,2.45e-05,16.37,17.45
50,4.4364,,2.50e-05,16.34,17.45
51,4.2735,,2.55e-05,16.46,17.45
52,3.7028,,2.60e-05,16.47,17.45
53,3.7288,,2.65e-05,16.4,17.45
54,4.0256,,2.70e-05,16.31,17.45
55,3.2194,,2.75e-05,16.41,17.45
56,3.8764,,2.80e-05,16.47,17.45
57,4.343,,2.85e-05,16.38,17.45
58,3.6149,,2.90e-05,16.48,17.45
59,4.025,,2.95e-05,16.46,17.45
60,4.2485,,3.00e-05,16.3,17.45
61,4.4802,,3.05e-05,16.47,17.45
62,3.0717,,3.10e-05,16.67,17.45
63,3.5308,,3.15e-05,16.34,17.45
64,3.1013,,3.20e-05,16.32,17.45
65,4.5018,,3.25e-05,16.26,17.45
66,4.3249,,3.30e-05,16.15,17.45
67,4.2833,,3.35e-05,16.31,17.45
68,3.7219,,3.40e-05,16.45,17.45
69,4.191,,3.45e-05,16.38,17.45
70,4.1053,,3.50e-05,16.21,17.45
