step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
0,,4.4584,0.0,,8.41
1,4.0177,,5.00e-07,11.09,11.13
2,4.952,,1.00e-06,11.16,11.2
3,4.0142,,1.50e-06,10.81,11.2
4,4.0806,,2.00e-06,10.84,11.2
5,4.809,,2.50e-06,10.77,11.2
6,4.2065,,3.00e-06,10.62,11.2
7,4.6332,,3.50e-06,10.57,11.2
8,4.1188,,4.00e-06,10.48,11.2
9,4.3628,,4.50e-06,10.42,11.2
10,4.7394,,5.00e-06,10.4,11.2
11,4.1122,,5.50e-06,10.37,11.2
12,3.9155,,6.00e-06,10.33,11.2
13,4.4501,,6.50e-06,10.51,11.2
14,4.2494,,7.00e-06,10.52,11.2
15,4.5147,,7.50e-06,10.43,11.2
16,3.566,,8.00e-06,10.42,11.2
17,4.5228,,8.50e-06,10.44,11.2
18,4.5097,,9.00e-06,10.42,11.2
19,4.4336,,9.50e-06,10.42,11.21
20,4.3869,,1.00e-05,10.39,11.21
21,4.1742,,1.05e-05,10.38,11.21
22,4.2928,,1.10e-05,10.38,11.21
23,4.3303,,1.15e-05,10.36,11.21
24,4.3118,,1.20e-05,10.23,11.22
25,4.241,,1.25e-05,10.2,11.22
26,3.9672,,1.30e-05,10.23,11.22
27,4.0072,,1.35e-05,10.2,11.22
28,4.5756,,1.40e-05,10.21,11.22
29,4.2055,,1.45e-05,10.27,11.22
30,4.378,,1.50e-05,10.38,11.22
31,3.9705,,1.55e-05,10.32,11.22
32,4.3364,,1.60e-05,10.34,11.22
33,4.2869,,1.65e-05,10.39,11.22
34,4.1756,,1.70e-05,10.35,11.22
35,4.1743,,1.75e-05,10.33,11.22
36,4.2744,,1.80e-05,10.32,11.22
37,4.3938,,1.85e-05,10.32,11.22
38,4.1862,,1.90e-05,10.28,11.22
39,4.7206,,1.95e-05,10.3,11.22
40,4.5964,,2.00e-05,10.28,11.22
41,4.2234,,2.05e-05,10.28,11.22
42,4.2675,,2.10e-05,10.27,11.22
43,3.6452,,2.15e-05,10.17,11.22
44,4.6218,,2.20e-05,10.14,11.22
45,4.5703,,2.25e-05,10.12,11.22
46,3.5104,,2.30e-05,10.14,11.22
