step,train_loss,val_loss,lr,sec_per_step
1,3.013,,1.00e-06,3.32
2,4.1555,,2.00e-06,0.97
3,4.52,,3.00e-06,0.94
4,2.3935,,4.00e-06,0.95
5,4.0355,,5.00e-06,0.94
6,3.0221,,6.00e-06,0.95
7,4.1496,,7.00e-06,1.0
8,4.5204,,8.00e-06,0.95
9,2.395,,9.00e-06,0.94
10,4.0396,,1.00e-05,0.95
11,3.0162,,1.10e-05,0.94
12,4.1411,,1.20e-05,0.96
13,4.5114,,1.30e-05,0.94
14,2.3942,,1.40e-05,0.93
15,4.0228,,1.50e-05,0.93
16,3.0098,,1.60e-05,0.94
17,4.1387,,1.70e-05,0.97
18,4.5041,,1.80e-05,0.95
19,2.3917,,1.90e-05,0.93
20,4.0175,,2.00e-05,0.98
21,2.9973,,2.10e-05,1.0
22,4.1229,,2.20e-05,1.02
23,4.4978,,2.30e-05,0.95
24,2.3872,,2.40e-05,0.93
25,4.0093,,2.50e-05,0.94
26,2.9895,,2.60e-05,0.95
27,4.1186,,2.70e-05,0.99
28,4.4858,,2.80e-05,0.97
29,2.3811,,2.90e-05,0.96
30,3.9933,,3.00e-05,0.97
31,2.9779,,3.10e-05,0.97
32,4.1003,,3.20e-05,0.99
33,4.4752,,3.30e-05,0.98
34,2.3762,,3.40e-05,0.96
35,3.9814,,3.50e-05,0.98
36,2.9618,,3.60e-05,0.97
37,4.0855,,3.70e-05,0.99
38,4.462,,3.80e-05,0.97
39,2.3671,,3.90e-05,0.97
40,3.9634,,4.00e-05,0.97
41,2.9491,,4.10e-05,0.98
42,4.0749,,4.20e-05,0.99
43,4.4511,,4.30e-05,0.97
44,2.3598,,4.40e-05,0.96
45,3.9433,,4.50e-05,0.98
46,2.9373,,4.60e-05,0.98
47,4.0562,,4.70e-05,0.99
48,4.436,,4.80e-05,0.97
49,2.3546,,4.90e-05,0.97
50,3.9206,,5.00e-05,0.97
